# File chua thong tin toa do tai lan chay thu 23
##########################################################################################
#  Step                   x                   y            delta_x            delta_y
     1      0.000000000000      0.000000000000      0.000000000000      0.000000000000
     2     -0.989508840633      0.144472330597     -0.989508840633      0.144472330597
     3     -0.686229104549      1.097373900373      0.303279736084      0.952901569776
     4      0.227041491736      0.690020469111      0.913270596285     -0.407353431262
     5     -0.543734992252      1.327126121048     -0.770776483988      0.637105651938
     6     -1.298834990013      1.982735755954     -0.755099997761      0.655609634906
     7     -1.238454479096      0.984560323527      0.060380510917     -0.998175432427
     8     -0.827970853022      1.896428292437      0.410483626074      0.911867968911
     9     -1.019785181548      2.877859524553     -0.191814328526      0.981431232116
    10     -0.652753492414      1.947651085991      0.367031689134     -0.930208438562
    11     -0.925090752310      0.985449227298     -0.272337259896     -0.962201858693
    12     -1.199441065845      0.023819410028     -0.274350313535     -0.961629817270
    13     -1.808429617667      0.816998421190     -0.608988551823      0.793179011162
    14     -2.807715743405      0.779219605581     -0.999286125737     -0.037778815610
    15     -3.389261289217     -0.034294240734     -0.581545545813     -0.813513846315
    16     -3.586285787204      0.946104324745     -0.197024497986      0.980398565479
    17     -4.297675148225      0.243306219293     -0.711389361021     -0.702798105452
    18     -4.885499314626     -0.565682500897     -0.587824166401     -0.808988720190
    19     -4.094154219459      0.045687223865      0.791345095167      0.611369724761
    20     -3.212395933948      0.517388745945      0.881758285511      0.471701522080
    21     -2.299972405978      0.108141503306      0.912423527970     -0.409247242639
    22     -3.240055857853      0.449085932079     -0.940083451875      0.340944428772
    23     -3.371875723804      1.440359619281     -0.131819865951      0.991273687203
    24     -2.460238879312      1.851356290514      0.911636844492      0.410996671232
    25     -2.352060039206      2.845487739847      0.108178840106      0.994131449333
    26     -2.516590741801      1.859115777601     -0.164530702595     -0.986371962245
    27     -1.517278257128      1.822040745904      0.999312484674     -0.037075031698
    28     -0.742206609994      2.453914104900      0.775071647134      0.631873358996
    29     -1.267995597957      1.603299068508     -0.525788987963     -0.850615036392
    30     -1.314986791844      2.602194372179     -0.046991193887      0.998895303672
    31     -0.798105304521      3.458251337610      0.516881487323      0.856056965431
    32     -0.624895944856      4.443136365278      0.173209359665      0.984885027668
    33     -0.788120209411      3.456547373113     -0.163224264555     -0.986588992165
    34      0.189494698019      3.246145156467      0.977614907431     -0.210402216646
    35     -0.248687024542      2.347258746506     -0.438181722561     -0.898886409961
    36      0.699277140046      2.665635791309      0.947964164588      0.318377044803
    37      1.585661220966      3.128586394604      0.886384080921      0.462950603294
    38      2.412897932925      2.566732835046      0.827236711959     -0.561853559558
    39      2.453054618806      1.567539440062      0.040156685881     -0.999193394984
    40      3.450014820833      1.489626953432      0.996960202028     -0.077912486630
    41      2.991134843564      0.601128688683     -0.458879977269     -0.888498264749
    42      3.777702484672     -0.016375437588      0.786567641108     -0.617504126272
    43      2.845729215060      0.346151561032     -0.931973269612      0.362526998620
    44      3.484390238554     -0.423336643601      0.638661023495     -0.769488204633
    45      4.255212720996      0.213713354878      0.770822482442      0.637049998479
    46      5.002266329369      0.878477152190      0.747053608373      0.664763797312
    47      5.188007906966      1.861075781515      0.185741577597      0.982598629325
    48      4.252465440984      2.214290014444     -0.935542465983      0.353214232929
    49      3.253268489597      2.174221918159     -0.999196951387     -0.040068096285
    50      2.267946784012      2.003514166420     -0.985321705585     -0.170707751739
    51      1.425500589015      1.464733683724     -0.842446194997     -0.538780482696
    52      0.842896734254      2.277489950029     -0.582603854761      0.812756266305
