####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 100
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 3.0 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 500 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 200 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 0.1
# Delta_0 (Do lech pha/Detuning)= 100 meV
# delta_t (Do rong xung laser) = 50 fs

####################################################################################################

#              t             N_e             N_h               P 
   -1.500000e+02     0.000000e+00     0.000000e+00     0.000000e+00
   -1.480000e+02     1.622360e-10     1.622360e-10     3.289860e-04
   -1.460000e+02     8.137609e-10     8.137609e-10     7.346160e-04
   -1.440000e+02     2.283219e-09     2.283219e-09     1.226418e-03
   -1.420000e+02     5.042399e-09     5.042399e-09     1.814935e-03
   -1.400000e+02     9.773165e-09     9.773165e-09     2.512927e-03
   -1.380000e+02     1.747795e-08     1.747795e-08     3.337347e-03
   -1.360000e+02     2.965668e-08     2.965668e-08     4.312179e-03
   -1.340000e+02     4.857920e-08     4.857920e-08     5.471785e-03
   -1.320000e+02     7.769007e-08     7.769007e-08     6.863721e-03
   -1.300000e+02     1.221936e-07     1.221936e-07     8.549436e-03
   -1.280000e+02     1.898840e-07     1.898840e-07     1.060254e-02
   -1.260000e+02     2.923128e-07     2.923128e-07     1.310673e-02
   -1.240000e+02     4.464243e-07     4.464243e-07     1.615550e-02
   -1.220000e+02     6.768475e-07     6.768475e-07     1.985382e-02
   -1.200000e+02     1.019103e-06     1.019103e-06     2.432100e-02
   -1.180000e+02     1.524080e-06     1.524080e-06     2.969424e-02
   -1.160000e+02     2.264236e-06     2.264236e-06     3.613253e-02
   -1.140000e+02     3.342123e-06     3.342123e-06     4.382059e-02
   -1.120000e+02     4.901975e-06     4.901975e-06     5.297251e-02
   -1.100000e+02     7.145299e-06     7.145299e-06     6.383471e-02
   -1.080000e+02     1.035163e-05     1.035163e-05     7.668834e-02
   -1.060000e+02     1.490589e-05     1.490589e-05     9.185114e-02
   -1.040000e+02     2.133420e-05     2.133420e-05     1.096794e-01
   -1.020000e+02     3.035026e-05     3.035026e-05     1.305699e-01
   -1.000000e+02     4.291512e-05     4.291512e-05     1.549629e-01
   -9.800000e+01     6.031341e-05     6.031341e-05     1.833444e-01
   -9.600000e+01     8.424990e-05     8.424990e-05     2.162498e-01
   -9.400000e+01     1.169706e-04     1.169706e-04     2.542662e-01
   -9.200000e+01     1.614130e-04     1.614130e-04     2.980345e-01
   -9.000000e+01     2.213912e-04     2.213912e-04     3.482510e-01
   -8.800000e+01     3.018203e-04     3.018203e-04     4.056671e-01
   -8.600000e+01     4.089870e-04     4.089870e-04     4.710884e-01
   -8.400000e+01     5.508713e-04     5.508713e-04     5.453720e-01
   -8.200000e+01     7.375247e-04     7.375247e-04     6.294236e-01
   -8.000000e+01     9.815096e-04     9.815096e-04     7.241925e-01
   -7.800000e+01     1.298404e-03     1.298404e-03     8.306666e-01
   -7.600000e+01     1.707373e-03     1.707373e-03     9.498657e-01
   -7.400000e+01     2.231806e-03     2.231806e-03     1.082833e+00
   -7.200000e+01     2.900019e-03     2.900019e-03     1.230627e+00
   -7.000000e+01     3.746006e-03     3.746006e-03     1.394307e+00
   -6.800000e+01     4.810242e-03     4.810242e-03     1.574925e+00
   -6.600000e+01     6.140503e-03     6.140503e-03     1.773508e+00
   -6.400000e+01     7.792695e-03     7.792695e-03     1.991040e+00
   -6.200000e+01     9.831651e-03     9.831651e-03     2.228448e+00
   -6.000000e+01     1.233187e-02     1.233187e-02     2.486583e+00
   -5.800000e+01     1.537817e-02     1.537817e-02     2.766197e+00
   -5.600000e+01     1.906615e-02     1.906615e-02     3.067927e+00
   -5.400000e+01     2.350249e-02     2.350249e-02     3.392275e+00
   -5.200000e+01     2.880502e-02     2.880502e-02     3.739586e+00
   -5.000000e+01     3.510245e-02     3.510245e-02     4.110032e+00
   -4.800000e+01     4.253373e-02     4.253373e-02     4.503589e+00
   -4.600000e+01     5.124707e-02     5.124707e-02     4.920024e+00
   -4.400000e+01     6.139846e-02     6.139846e-02     5.358878e+00
   -4.200000e+01     7.314979e-02     7.314979e-02     5.819449e+00
   -4.000000e+01     8.666638e-02     8.666638e-02     6.300788e+00
   -3.800000e+01     1.021142e-01     1.021142e-01     6.801685e+00
   -3.600000e+01     1.196563e-01     1.196563e-01     7.320667e+00
   -3.400000e+01     1.394495e-01     1.394495e-01     7.855999e+00
   -3.200000e+01     1.616401e-01     1.616401e-01     8.405689e+00
   -3.000000e+01     1.863593e-01     1.863593e-01     8.967491e+00
   -2.800000e+01     2.137193e-01     2.137193e-01     9.538925e+00
   -2.600000e+01     2.438088e-01     2.438088e-01     1.011729e+01
   -2.400000e+01     2.766882e-01     2.766882e-01     1.069968e+01
   -2.200000e+01     3.123867e-01     3.123867e-01     1.128303e+01
   -2.000000e+01     3.508978e-01     3.508978e-01     1.186411e+01
   -1.800000e+01     3.921773e-01     3.921773e-01     1.243960e+01
   -1.600000e+01     4.361411e-01     4.361411e-01     1.300611e+01
   -1.400000e+01     4.826637e-01     4.826637e-01     1.356018e+01
   -1.200000e+01     5.315790e-01     5.315790e-01     1.409840e+01
   -1.000000e+01     5.826805e-01     5.826805e-01     1.461739e+01
   -8.000000e+00     6.357239e-01     6.357239e-01     1.511386e+01
   -6.000000e+00     6.904303e-01     6.904303e-01     1.558466e+01
   -4.000000e+00     7.464901e-01     7.464901e-01     1.602682e+01
   -2.000000e+00     8.035686e-01     8.035686e-01     1.643759e+01
    0.000000e+00     8.613119e-01     8.613119e-01     1.681447e+01
    2.000000e+00     9.193532e-01     9.193532e-01     1.715523e+01
    4.000000e+00     9.773201e-01     9.773201e-01     1.745799e+01
    6.000000e+00     1.034841e+00     1.034841e+00     1.772118e+01
    8.000000e+00     1.091555e+00     1.091555e+00     1.794361e+01
    1.000000e+01     1.147113e+00     1.147113e+00     1.812446e+01
    1.200000e+01     1.201190e+00     1.201190e+00     1.826329e+01
    1.400000e+01     1.253489e+00     1.253489e+00     1.836006e+01
    1.600000e+01     1.303743e+00     1.303743e+00     1.841508e+01
    1.800000e+01     1.351723e+00     1.351723e+00     1.842907e+01
    2.000000e+01     1.397238e+00     1.397238e+00     1.840310e+01
    2.200000e+01     1.440138e+00     1.440138e+00     1.833856e+01
    2.400000e+01     1.480314e+00     1.480314e+00     1.823718e+01
    2.600000e+01     1.517698e+00     1.517698e+00     1.810096e+01
    2.800000e+01     1.552260e+00     1.552260e+00     1.793217e+01
    3.000000e+01     1.584008e+00     1.584008e+00     1.773330e+01
    3.200000e+01     1.612985e+00     1.612985e+00     1.750700e+01
    3.400000e+01     1.639263e+00     1.639263e+00     1.725609e+01
    3.600000e+01     1.662940e+00     1.662940e+00     1.698350e+01
    3.800000e+01     1.684136e+00     1.684136e+00     1.669221e+01
    4.000000e+01     1.702991e+00     1.702991e+00     1.638526e+01
    4.200000e+01     1.719654e+00     1.719654e+00     1.606566e+01
    4.400000e+01     1.734286e+00     1.734286e+00     1.573639e+01
    4.600000e+01     1.747051e+00     1.747051e+00     1.540037e+01
    4.800000e+01     1.758117e+00     1.758117e+00     1.506039e+01
    5.000000e+01     1.767648e+00     1.767648e+00     1.471914e+01
    5.200000e+01     1.775803e+00     1.775803e+00     1.437916e+01
    5.400000e+01     1.782737e+00     1.782737e+00     1.404283e+01
    5.600000e+01     1.788594e+00     1.788594e+00     1.371235e+01
    5.800000e+01     1.793510e+00     1.793510e+00     1.338973e+01
    6.000000e+01     1.797608e+00     1.797608e+00     1.307684e+01
    6.200000e+01     1.801004e+00     1.801004e+00     1.277534e+01
    6.400000e+01     1.803799e+00     1.803799e+00     1.248670e+01
    6.600000e+01     1.806084e+00     1.806084e+00     1.221430e+01
    6.800000e+01     1.807941e+00     1.807941e+00     1.195725e+01
    7.000000e+01     1.809440e+00     1.809440e+00     1.171393e+01
    7.200000e+01     1.810641e+00     1.810641e+00     1.148408e+01
    7.400000e+01     1.811598e+00     1.811598e+00     1.126751e+01
    7.600000e+01     1.812356e+00     1.812356e+00     1.106410e+01
    7.800000e+01     1.812952e+00     1.812952e+00     1.087388e+01
    8.000000e+01     1.813417e+00     1.813417e+00     1.069751e+01
    8.200000e+01     1.813778e+00     1.813778e+00     1.053573e+01
    8.400000e+01     1.814056e+00     1.814056e+00     1.038508e+01
    8.600000e+01     1.814269e+00     1.814269e+00     1.024287e+01
    8.800000e+01     1.814431e+00     1.814431e+00     1.010759e+01
    9.000000e+01     1.814553e+00     1.814553e+00     9.978166e+00
    9.200000e+01     1.814645e+00     1.814645e+00     9.853775e+00
    9.400000e+01     1.814714e+00     1.814714e+00     9.733775e+00
    9.600000e+01     1.814764e+00     1.814764e+00     9.617658e+00
    9.800000e+01     1.814801e+00     1.814801e+00     9.505013e+00
    1.000000e+02     1.814829e+00     1.814829e+00     9.395509e+00
    1.020000e+02     1.814848e+00     1.814848e+00     9.288879e+00
    1.040000e+02     1.814862e+00     1.814862e+00     9.184911e+00
    1.060000e+02     1.814873e+00     1.814873e+00     9.083461e+00
    1.080000e+02     1.814880e+00     1.814880e+00     8.984404e+00
    1.100000e+02     1.814885e+00     1.814885e+00     8.887501e+00
    1.120000e+02     1.814888e+00     1.814888e+00     8.792567e+00
    1.140000e+02     1.814891e+00     1.814891e+00     8.699465e+00
    1.160000e+02     1.814892e+00     1.814892e+00     8.608085e+00
    1.180000e+02     1.814894e+00     1.814894e+00     8.518334e+00
    1.200000e+02     1.814894e+00     1.814894e+00     8.430140e+00
    1.220000e+02     1.814895e+00     1.814895e+00     8.343472e+00
    1.240000e+02     1.814895e+00     1.814895e+00     8.258298e+00
    1.260000e+02     1.814895e+00     1.814895e+00     8.174408e+00
    1.280000e+02     1.814896e+00     1.814896e+00     8.091672e+00
    1.300000e+02     1.814896e+00     1.814896e+00     8.010007e+00
    1.320000e+02     1.814896e+00     1.814896e+00     7.929350e+00
    1.340000e+02     1.814896e+00     1.814896e+00     7.849653e+00
    1.360000e+02     1.814896e+00     1.814896e+00     7.770878e+00
    1.380000e+02     1.814896e+00     1.814896e+00     7.692995e+00
    1.400000e+02     1.814896e+00     1.814896e+00     7.615975e+00
    1.420000e+02     1.814896e+00     1.814896e+00     7.539792e+00
    1.440000e+02     1.814896e+00     1.814896e+00     7.464424e+00
    1.460000e+02     1.814896e+00     1.814896e+00     7.389855e+00
    1.480000e+02     1.814896e+00     1.814896e+00     7.316068e+00
    1.500000e+02     1.814896e+00     1.814896e+00     7.243049e+00
    1.520000e+02     1.814896e+00     1.814896e+00     7.170787e+00
    1.540000e+02     1.814896e+00     1.814896e+00     7.099271e+00
    1.560000e+02     1.814896e+00     1.814896e+00     7.028489e+00
    1.580000e+02     1.814896e+00     1.814896e+00     6.958435e+00
    1.600000e+02     1.814896e+00     1.814896e+00     6.889105e+00
    1.620000e+02     1.814896e+00     1.814896e+00     6.820482e+00
    1.640000e+02     1.814896e+00     1.814896e+00     6.752553e+00
    1.660000e+02     1.814896e+00     1.814896e+00     6.685309e+00
    1.680000e+02     1.814896e+00     1.814896e+00     6.618741e+00
    1.700000e+02     1.814896e+00     1.814896e+00     6.552842e+00
    1.720000e+02     1.814896e+00     1.814896e+00     6.487602e+00
    1.740000e+02     1.814896e+00     1.814896e+00     6.423016e+00
    1.760000e+02     1.814896e+00     1.814896e+00     6.359075e+00
    1.780000e+02     1.814896e+00     1.814896e+00     6.295772e+00
    1.800000e+02     1.814896e+00     1.814896e+00     6.233102e+00
    1.820000e+02     1.814896e+00     1.814896e+00     6.171057e+00
    1.840000e+02     1.814896e+00     1.814896e+00     6.109631e+00
    1.860000e+02     1.814896e+00     1.814896e+00     6.048819e+00
    1.880000e+02     1.814896e+00     1.814896e+00     5.988613e+00
    1.900000e+02     1.814896e+00     1.814896e+00     5.929008e+00
    1.920000e+02     1.814896e+00     1.814896e+00     5.870001e+00
    1.940000e+02     1.814896e+00     1.814896e+00     5.811582e+00
    1.960000e+02     1.814896e+00     1.814896e+00     5.753744e+00
    1.980000e+02     1.814896e+00     1.814896e+00     5.696485e+00
    2.000000e+02     1.814896e+00     1.814896e+00     5.639796e+00
    2.020000e+02     1.814896e+00     1.814896e+00     5.583672e+00
    2.040000e+02     1.814896e+00     1.814896e+00     5.528107e+00
    2.060000e+02     1.814896e+00     1.814896e+00     5.473095e+00
    2.080000e+02     1.814896e+00     1.814896e+00     5.418632e+00
    2.100000e+02     1.814896e+00     1.814896e+00     5.364711e+00
    2.120000e+02     1.814896e+00     1.814896e+00     5.311327e+00
    2.140000e+02     1.814896e+00     1.814896e+00     5.258475e+00
    2.160000e+02     1.814896e+00     1.814896e+00     5.206148e+00
    2.180000e+02     1.814896e+00     1.814896e+00     5.154342e+00
    2.200000e+02     1.814896e+00     1.814896e+00     5.103053e+00
    2.220000e+02     1.814896e+00     1.814896e+00     5.052273e+00
    2.240000e+02     1.814896e+00     1.814896e+00     5.001999e+00
    2.260000e+02     1.814896e+00     1.814896e+00     4.952226e+00
    2.280000e+02     1.814896e+00     1.814896e+00     4.902948e+00
    2.300000e+02     1.814896e+00     1.814896e+00     4.854161e+00
    2.320000e+02     1.814896e+00     1.814896e+00     4.805860e+00
    2.340000e+02     1.814896e+00     1.814896e+00     4.758039e+00
