####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 100
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 3.0 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 500 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 200 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 2
# Delta_0 (Do lech pha/Detuning)= 30 meV
# delta_t (Do rong xung laser) = 25 fs

####################################################################################################

#              t             N_e             N_h               P 
   -7.500000e+01     0.000000e+00     0.000000e+00     0.000000e+00
   -7.299652e+01     3.306019e-07     3.306019e-07     1.484894e-02
   -7.099303e+01     2.123242e-06     2.123242e-06     3.752833e-02
   -6.898955e+01     7.689823e-06     7.689823e-06     7.113753e-02
   -6.698606e+01     2.219789e-05     2.219789e-05     1.201703e-01
   -6.498258e+01     5.715639e-05     5.715639e-05     1.914517e-01
   -6.297909e+01     1.380944e-04     1.380944e-04     2.954360e-01
   -6.097561e+01     3.208140e-04     3.208140e-04     4.475966e-01
   -5.897213e+01     7.243508e-04     7.243508e-04     6.696323e-01
   -5.696864e+01     1.595280e-03     1.595280e-03     9.906454e-01
   -5.496516e+01     3.428999e-03     3.428999e-03     1.448684e+00
   -5.296167e+01     7.191515e-03     7.191515e-03     2.092797e+00
   -5.095819e+01     1.471284e-02     1.471284e-02     2.985480e+00
   -4.895470e+01     2.936292e-02     2.936292e-02     4.205296e+00
   -4.695122e+01     5.717410e-02     5.717410e-02     5.849330e+00
   -4.494774e+01     1.086386e-01     1.086386e-01     8.035082e+00
   -4.294425e+01     2.014779e-01     2.014779e-01     1.090138e+01
   -4.094077e+01     3.647375e-01     3.647375e-01     1.460790e+01
   -3.893728e+01     6.445773e-01     6.445773e-01     1.933272e+01
   -3.693380e+01     1.112062e+00     1.112062e+00     2.526737e+01
   -3.493031e+01     1.873033e+00     1.873033e+00     3.260834e+01
   -3.292683e+01     3.079713e+00     3.079713e+00     4.154399e+01
   -3.092334e+01     4.942890e+00     4.942890e+00     5.223535e+01
   -2.891986e+01     7.742398e+00     7.742398e+00     6.478963e+01
   -2.691638e+01     1.183201e+01     1.183201e+01     7.922534e+01
   -2.491289e+01     1.763301e+01     1.763301e+01     9.542959e+01
   -2.290941e+01     2.560917e+01     2.560917e+01     1.131106e+02
   -2.090592e+01     3.621503e+01     3.621503e+01     1.317528e+02
   -1.890244e+01     4.981161e+01     4.981161e+01     1.505874e+02
   -1.689895e+01     6.654943e+01     6.654943e+01     1.685987e+02
   -1.489547e+01     8.623005e+01     8.623005e+01     1.845896e+02
   -1.289199e+01     1.081738e+02     1.081738e+02     1.973275e+02
   -1.088850e+01     1.311374e+02     1.311374e+02     2.057828e+02
   -8.885017e+00     1.533347e+02     1.533347e+02     2.094469e+02
   -6.881533e+00     1.726024e+02     1.726024e+02     2.086920e+02
   -4.878049e+00     1.867212e+02     1.867212e+02     2.051329e+02
   -2.874564e+00     1.938409e+02     1.938409e+02     2.022956e+02
   -8.710801e-01     1.929083e+02     1.929083e+02     2.064274e+02
    1.132404e+00     1.839612e+02     1.839612e+02     2.116969e+02
    3.135889e+00     1.681807e+02     1.681807e+02     2.136793e+02
    5.139373e+00     1.476663e+02     1.476663e+02     2.101893e+02
    7.142857e+00     1.249947e+02     1.249947e+02     2.004824e+02
    9.146341e+00     1.027002e+02     1.027002e+02     1.851358e+02
    1.114983e+01     8.282830e+01     8.282830e+01     1.661930e+02
    1.315331e+01     6.667249e+01     6.667249e+01     1.460267e+02
    1.515679e+01     5.472833e+01     5.472833e+01     1.265195e+02
    1.716028e+01     4.682340e+01     4.682340e+01     1.090836e+02
    1.916376e+01     4.234348e+01     4.234348e+01     9.471699e+01
    2.116725e+01     4.047146e+01     4.047146e+01     8.429000e+01
    2.317073e+01     4.038067e+01     4.038067e+01     7.913819e+01
    2.517422e+01     4.135759e+01     4.135759e+01     7.750572e+01
    2.717770e+01     4.285640e+01     4.285640e+01     7.627897e+01
    2.918118e+01     4.450296e+01     4.450296e+01     7.452943e+01
    3.118467e+01     4.606976e+01     4.606976e+01     7.208179e+01
    3.318815e+01     4.743966e+01     4.743966e+01     6.903257e+01
    3.519164e+01     4.857009e+01     4.857009e+01     6.557935e+01
    3.719512e+01     4.946362e+01     4.946362e+01     6.194132e+01
    3.919861e+01     5.014636e+01     5.014636e+01     5.832350e+01
    4.120209e+01     5.065370e+01     5.065370e+01     5.490696e+01
    4.320557e+01     5.102189e+01     5.102189e+01     5.186127e+01
    4.520906e+01     5.128358e+01     5.128358e+01     4.944014e+01
    4.721254e+01     5.146607e+01     5.146607e+01     4.781298e+01
    4.921603e+01     5.159108e+01     5.159108e+01     4.654744e+01
    5.121951e+01     5.167523e+01     5.167523e+01     4.547611e+01
    5.322300e+01     5.173092e+01     5.173092e+01     4.453394e+01
    5.522648e+01     5.176716e+01     5.176716e+01     4.373084e+01
    5.722997e+01     5.179032e+01     5.179032e+01     4.304740e+01
    5.923345e+01     5.180489e+01     5.180489e+01     4.240825e+01
    6.123693e+01     5.181388e+01     5.181388e+01     4.179648e+01
    6.324042e+01     5.181934e+01     5.181934e+01     4.120673e+01
    6.524390e+01     5.182259e+01     5.182259e+01     4.063945e+01
    6.724739e+01     5.182449e+01     5.182449e+01     4.009826e+01
    6.925087e+01     5.182558e+01     5.182558e+01     3.957414e+01
    7.125436e+01     5.182619e+01     5.182619e+01     3.906553e+01
    7.325784e+01     5.182653e+01     5.182653e+01     3.857235e+01
    7.526132e+01     5.182672e+01     5.182672e+01     3.809436e+01
    7.726481e+01     5.182682e+01     5.182682e+01     3.763237e+01
    7.926829e+01     5.182687e+01     5.182687e+01     3.718669e+01
    8.127178e+01     5.182689e+01     5.182689e+01     3.675219e+01
    8.327526e+01     5.182691e+01     5.182691e+01     3.632682e+01
    8.527875e+01     5.182691e+01     5.182691e+01     3.591058e+01
    8.728223e+01     5.182692e+01     5.182692e+01     3.550410e+01
