####################################################################################################
# KET QUA GIAI PHUONG TRINH SEMICONDUCTOR BLOCH EQUATIONS (SBE)
####################################################################################################

# ====================================================================
# THAM SO DAU VAO
# ====================================================================

# --- THAM SO TINH TOAN ---
# N (So diem luoi nang luong)  = 1000
# epsilon_max (Nang luong max) = 300 meV
# delta_epsilon (Buoc luoi)    = 0.3 meV
# dt (Buoc thoi gian)          = 2 fs
# t_max (Thoi gian mo phong)   = 1000 fs
#
# --- THAM SO VAT LY HE BAN DAN ---
# a_0 (Ban kinh Bohr Exciton)  = 125 angstrom
# E_R (Nang luong Rydberg)     = 4.2 meV
# T_2 (Thoi gian dephasing)    = 200 fs
# hbar (Hang so Planck thu gon) = 658.5 meV*fs
#
# --- THAM SO KICH THICH LASER ---
# chi_0 (Tan so Rabi dinh)     = 0.1
# Delta_0 (Do lech pha/Detuning)= 100 meV
# delta_t (Do rong xung laser) = 50 fs

####################################################################################################

#              t             N_e             N_h    Re_P for abs    Im_P for abs             |P|             E_t 
   -1.500000e+02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     1.234098e-05
   -1.480000e+02     5.098191e-09     5.098191e-09     6.885858e-04     1.023690e-02     1.033755e-02     1.566338e-05
   -1.460000e+02     2.558223e-08     2.558223e-08     2.834283e-03     2.228524e-02     2.308824e-02     1.981671e-05
   -1.440000e+02     7.182066e-08     7.182066e-08     6.403236e-03     3.590919e-02     3.855808e-02     2.499124e-05
   -1.420000e+02     1.587283e-07     1.587283e-07     1.119490e-02     5.106516e-02     5.708666e-02     3.141626e-05
   -1.400000e+02     3.078806e-07     3.078806e-07     1.692764e-02     6.799305e-02     7.908347e-02     3.936690e-05
   -1.380000e+02     5.509846e-07     5.509846e-07     2.334462e-02     8.726032e-02     1.050883e-01     4.917205e-05
   -1.360000e+02     9.354256e-07     9.354256e-07     3.031375e-02     1.097566e-01     1.358568e-01     6.122315e-05
   -1.340000e+02     1.532811e-06     1.532811e-06     3.789897e-02     1.366499e-01     1.724629e-01     7.598420e-05
   -1.320000e+02     2.451686e-06     2.451686e-06     4.638894e-02     1.693240e-01     2.163873e-01     9.400288e-05
   -1.300000e+02     3.855958e-06     3.855958e-06     5.628155e-02     2.093218e-01     2.695465e-01     1.159229e-04
   -1.280000e+02     5.991095e-06     5.991095e-06     6.823449e-02     2.583148e-01     3.342480e-01     1.424976e-04
   -1.260000e+02     9.221014e-06     9.221014e-06     8.300001e-02     3.181108e-01     4.131305e-01     1.746049e-04
   -1.240000e+02     1.407979e-05     1.407979e-05     1.013648e-01     3.907024e-01     5.091521e-01     2.132629e-04
   -1.220000e+02     2.134409e-05     2.134409e-05     1.241128e-01     4.783465e-01     6.256384e-01     2.596476e-04
   -1.200000e+02     3.213442e-05     3.213442e-05     1.520197e-01     5.836597e-01     7.663680e-01     3.151112e-04
   -1.180000e+02     4.805629e-05     4.805629e-05     1.858813e-01     7.097131e-01     9.356803e-01     3.812005e-04
   -1.160000e+02     7.139577e-05     7.139577e-05     2.265649e-01     8.601107e-01     1.138594e+00     4.596776e-04
   -1.140000e+02     1.053881e-04     1.053881e-04     2.750710e-01     1.039046e+00     1.380932e+00     5.525398e-04
   -1.120000e+02     1.545828e-04     1.545828e-04     3.325906e-01     1.251336e+00     1.669434e+00     6.620397e-04
   -1.100000e+02     2.253355e-04     2.253355e-04     4.005463e-01     1.502440e+00     2.011857e+00     7.907054e-04
   -1.080000e+02     3.264620e-04     3.264620e-04     4.806117e-01     1.798479e+00     2.417052e+00     9.413598e-04
   -1.060000e+02     4.701020e-04     4.701020e-04     5.747125e-01     2.146256e+00     2.895033e+00     1.117138e-03
   -1.040000e+02     6.728482e-04     6.728482e-04     6.850147e-01     2.553291e+00     3.457032e+00     1.321504e-03
   -1.020000e+02     9.572102e-04     9.572102e-04     8.139107e-01     3.027878e+00     4.115569e+00     1.558261e-03
   -1.000000e+02     1.353499e-03     1.353499e-03     9.640126e-01     3.579142e+00     4.884531e+00     1.831564e-03
