Giai phuong trinh f(x) = 0 bang phuong phap Newton Raphson
Do chinh xac cua phep tinh la: 1e-15
####################################################################################################
  i                          p                       f(p)
  0         4.0160090383162554        26.5430603956289630
  1         3.0645369205003989         9.3578696443925065
  2         2.2049429005645900         3.0262559629572587
  3         1.5634545147327765         0.7630806919284714
  4         1.2657906870012601         0.0974576753665124
  5         1.2155066679381854         0.0022658582061288
  6         1.2142810278515839         0.0000013045888387
  7         1.2142803213645774         0.0000000000004330
  8         1.2142803213643429         0.0000000000000000
  9         1.2142803213643429         0.0000000000000000
