Giai phuong trinh f(x) = 0 bang phuong phap diem co dinh
Do chinh xac cua phep tinh la: 1e-05
####################################################################################################
  i                          p                  g(p)
  0         5.0000000000000000         0.6570531194724945
  1         0.6570531194724945         0.9251333942745444
  2         0.9251333942745444         0.8442416105925814
  3         0.8442416105925814         0.8725447775431671
  4         0.8725447775431671         0.8630643405736804
  5         0.8630643405736804         0.8662889093749893
  6         0.8662889093749893         0.8651977426002089
  7         0.8651977426002089         0.8655676281658260
  8         0.8655676281658260         0.8654423176271732
  9         0.8654423176271732         0.8654847790562802
 10         0.8654847790562802         0.8654703919910595
 11         0.8654703919910595         0.8654752668245002
