Giai phuong trinh f(x) = 0 bang phuong phap diem co dinh
Do chinh xac cua phep tinh la: 1e-05
####################################################################################################
  i                          p                  g(p)
  0         5.0000000000000000         0.3274420427990103
  1         0.3274420427990103         1.4022717787615870
  2         1.4022717787615870         1.1764159451278222
  3         1.1764159451278222         1.2219625121929814
  4         1.2219625121929814         1.2127241981501888
  5         1.2127241981501888         1.2145956341040318
  6         1.2145956341040318         1.2142164346033653
  7         1.2142164346033653         1.2142932658836967
  8         1.2142932658836967         1.2142776985966119
  9         1.2142776985966119         1.2142808527795381
