Ket qua tinh toan he phuong trinh sau 115 lan lap:

########################################################################################################################################################################################################

    i                  F1                   F2                   F3                   f1                   f2                   f3                   f4                   f5               sai_so
   65        -0.000696917      -6339.746217245      -3660.254185120      -8965.754513401       6339.745520328      10000.000000000      -7320.508370241       6339.746217245         6.969172e-04
   66        -0.000294552      -6339.745814880      -3660.254185120      -8965.754513401       6339.746217245      10000.000000000      -7320.507905629       6339.746217245         6.969172e-04
   67         0.000402365      -6339.745814880      -3660.253952815      -8965.754841931       6339.746217245      10000.000000000      -7320.507905629       6339.745814880         4.023653e-04
   68         0.000170060      -6339.746047185      -3660.253952815      -8965.754841931       6339.745814880      10000.000000000      -7320.508173873       6339.745814880         4.023653e-04
   69        -0.000232306      -6339.746047185      -3660.254086936      -8965.754652254       6339.745814880      10000.000000000      -7320.508173873       6339.746047185         2.323057e-04
   70        -0.000098184      -6339.745913064      -3660.254086936      -8965.754652254       6339.746047185      10000.000000000      -7320.508019002       6339.746047185         2.323057e-04
   71         0.000134122      -6339.745913064      -3660.254009501      -8965.754761764       6339.746047185      10000.000000000      -7320.508019002       6339.745913064         1.341218e-04
   72         0.000056687      -6339.745990499      -3660.254009501      -8965.754761764       6339.745913064      10000.000000000      -7320.508108417       6339.745913064         1.341218e-04
   73        -0.000077435      -6339.745990499      -3660.254054208      -8965.754698538       6339.745913064      10000.000000000      -7320.508108417       6339.745990499         7.743524e-05
   74        -0.000032728      -6339.745945792      -3660.254054208      -8965.754698538       6339.745990499      10000.000000000      -7320.508056793       6339.745990499         7.743524e-05
   75         0.000044707      -6339.745945792      -3660.254028397      -8965.754735042       6339.745990499      10000.000000000      -7320.508056793       6339.745945792         4.470726e-05
   76         0.000018896      -6339.745971603      -3660.254028397      -8965.754735042       6339.745945792      10000.000000000      -7320.508086598       6339.745945792         4.470726e-05
   77        -0.000025812      -6339.745971603      -3660.254043299      -8965.754713966       6339.745945792      10000.000000000      -7320.508086598       6339.745971603         2.581175e-05
   78        -0.000010909      -6339.745956701      -3660.254043299      -8965.754713966       6339.745971603      10000.000000000      -7320.508069390       6339.745971603         2.581175e-05
   79         0.000014902      -6339.745956701      -3660.254034695      -8965.754726134       6339.745971603      10000.000000000      -7320.508069390       6339.745956701         1.490242e-05
   80         0.000006299      -6339.745965305      -3660.254034695      -8965.754726134       6339.745956701      10000.000000000      -7320.508079325       6339.745956701         1.490242e-05
   81        -0.000008604      -6339.745965305      -3660.254039663      -8965.754719109       6339.745956701      10000.000000000      -7320.508079325       6339.745965305         8.603914e-06
   82        -0.000003636      -6339.745960337      -3660.254039663      -8965.754719109       6339.745965305      10000.000000000      -7320.508073589       6339.745965305         8.603914e-06
   83         0.000004967      -6339.745960337      -3660.254036795      -8965.754723165       6339.745965305      10000.000000000      -7320.508073589       6339.745960337         4.967473e-06
   84         0.000002100      -6339.745963205      -3660.254036795      -8965.754723165       6339.745960337      10000.000000000      -7320.508076901       6339.745960337         4.967473e-06
   85        -0.000002868      -6339.745963205      -3660.254038450      -8965.754720823       6339.745960337      10000.000000000      -7320.508076901       6339.745963205         2.867973e-06
   86        -0.000001212      -6339.745961550      -3660.254038450      -8965.754720823       6339.745963205      10000.000000000      -7320.508074989       6339.745963205         2.867973e-06
   87         0.000001656      -6339.745961550      -3660.254037494      -8965.754722175       6339.745963205      10000.000000000      -7320.508074989       6339.745961550         1.655825e-06
   88         0.000000700      -6339.745962506      -3660.254037494      -8965.754722175       6339.745961550      10000.000000000      -7320.508076093       6339.745961550         1.655825e-06
   89        -0.000000956      -6339.745962506      -3660.254038046      -8965.754721395       6339.745961550      10000.000000000      -7320.508076093       6339.745962506         9.559908e-07
   90        -0.000000404      -6339.745961954      -3660.254038046      -8965.754721395       6339.745962506      10000.000000000      -7320.508075455       6339.745962506         9.559908e-07
   91         0.000000552      -6339.745961954      -3660.254037728      -8965.754721845       6339.745962506      10000.000000000      -7320.508075455       6339.745961954         5.519423e-07
   92         0.000000233      -6339.745962272      -3660.254037728      -8965.754721845       6339.745961954      10000.000000000      -7320.508075823       6339.745961954         5.519423e-07
   93        -0.000000319      -6339.745962272      -3660.254037912      -8965.754721585       6339.745961954      10000.000000000      -7320.508075823       6339.745962272         3.186651e-07
   94        -0.000000135      -6339.745962088      -3660.254037912      -8965.754721585       6339.745962272      10000.000000000      -7320.508075611       6339.745962272         3.186651e-07
   95         0.000000184      -6339.745962088      -3660.254037806      -8965.754721736       6339.745962272      10000.000000000      -7320.508075611       6339.745962088         1.839817e-07
   96         0.000000078      -6339.745962194      -3660.254037806      -8965.754721736       6339.745962088      10000.000000000      -7320.508075734       6339.745962088         1.839817e-07
   97        -0.000000106      -6339.745962194      -3660.254037867      -8965.754721649       6339.745962088      10000.000000000      -7320.508075734       6339.745962194         1.062208e-07
   98        -0.000000045      -6339.745962133      -3660.254037867      -8965.754721649       6339.745962194      10000.000000000      -7320.508075663       6339.745962194         1.062208e-07
   99         0.000000061      -6339.745962133      -3660.254037831      -8965.754721699       6339.745962194      10000.000000000      -7320.508075663       6339.745962133         6.132632e-08
  100         0.000000026      -6339.745962169      -3660.254037831      -8965.754721699       6339.745962133      10000.000000000      -7320.508075704       6339.745962133         6.132632e-08
  101        -0.000000035      -6339.745962169      -3660.254037852      -8965.754721670       6339.745962133      10000.000000000      -7320.508075704       6339.745962169         3.540754e-08
  102        -0.000000015      -6339.745962148      -3660.254037852      -8965.754721670       6339.745962169      10000.000000000      -7320.508075680       6339.745962169         3.540754e-08
  103         0.000000020      -6339.745962148      -3660.254037840      -8965.754721687       6339.745962169      10000.000000000      -7320.508075680       6339.745962148         2.044362e-08
  104         0.000000009      -6339.745962160      -3660.254037840      -8965.754721687       6339.745962148      10000.000000000      -7320.508075694       6339.745962148         2.044362e-08
  105        -0.000000012      -6339.745962160      -3660.254037847      -8965.754721677       6339.745962148      10000.000000000      -7320.508075694       6339.745962160         1.180342e-08
  106        -0.000000005      -6339.745962153      -3660.254037847      -8965.754721677       6339.745962160      10000.000000000      -7320.508075686       6339.745962160         1.180342e-08
  107         0.000000007      -6339.745962153      -3660.254037843      -8965.754721683       6339.745962160      10000.000000000      -7320.508075686       6339.745962153         6.813934e-09
  108         0.000000003      -6339.745962157      -3660.254037843      -8965.754721683       6339.745962153      10000.000000000      -7320.508075690       6339.745962153         6.813934e-09
  109        -0.000000004      -6339.745962157      -3660.254037845      -8965.754721679       6339.745962153      10000.000000000      -7320.508075690       6339.745962157         3.934474e-09
  110        -0.000000002      -6339.745962155      -3660.254037845      -8965.754721679       6339.745962157      10000.000000000      -7320.508075688       6339.745962157         3.934474e-09
  111         0.000000002      -6339.745962155      -3660.254037844      -8965.754721681       6339.745962157      10000.000000000      -7320.508075688       6339.745962155         2.271918e-09
  112         0.000000001      -6339.745962156      -3660.254037844      -8965.754721681       6339.745962155      10000.000000000      -7320.508075689       6339.745962155         2.271918e-09
  113        -0.000000001      -6339.745962156      -3660.254037845      -8965.754721680       6339.745962155      10000.000000000      -7320.508075689       6339.745962156         1.312401e-09
  114        -0.000000001      -6339.745962155      -3660.254037845      -8965.754721680       6339.745962156      10000.000000000      -7320.508075688       6339.745962156         1.312401e-09
  115         0.000000001      -6339.745962155      -3660.254037844      -8965.754721681       6339.745962156      10000.000000000      -7320.508075688       6339.745962155         7.585186e-10
