# KET QUA GIAI PHUONG TRINH SCHRODINGER PHU THUOC THOI GIAN

######################################################################################################################################################
# THAM SO DAU VAO
######################################################################################################################################################

# N_x        = 751
# N_t        = 10001
# x_min      = 0
# x_max      = 15
# t_min      = 0
# t_max      = 1
# dx         = 0.02
# dt         = 0.0001
# sigma_0    = 0.5
# k_0        = 8
# cach_deu_time = 200

######################################################################################################################################################

#              t               x          Re_psi          Im_psi           |psi|         |psi|^2
    0.000000e+00    1.180000e+00   -2.245844e-13   -3.418897e-15    2.246104e-13    5.044985e-26
    0.000000e+00    1.200000e+00   -2.999863e-13   -5.310886e-14    3.046512e-13    9.281235e-26
    0.000000e+00    1.220000e+00   -3.895903e-13   -1.357216e-13    4.125542e-13    1.702009e-25
    0.000000e+00    1.240000e+00   -4.907715e-13   -2.650729e-13    5.577816e-13    3.111203e-25
    0.000000e+00    1.260000e+00   -5.970049e-13   -4.587847e-13    7.529264e-13    5.668982e-25
    0.000000e+00    1.280000e+00   -6.958001e-13   -7.385919e-13    1.014720e-12    1.029656e-24
    0.000000e+00    1.300000e+00   -7.659410e-13   -1.130274e-12    1.365352e-12    1.864186e-24
    0.000000e+00    1.320000e+00   -7.739090e-13   -1.662943e-12    1.834207e-12    3.364315e-24
    0.000000e+00    1.340000e+00   -6.693991e-13   -2.367302e-12    2.460125e-12    6.052216e-24
    0.000000e+00    1.360000e+00   -3.798964e-13   -3.272383e-12    3.294361e-12    1.085281e-23
    0.000000e+00    1.380000e+00    1.956059e-13   -4.400090e-12    4.404436e-12    1.939906e-23
    0.000000e+00    1.400000e+00    1.193496e-12   -5.756733e-12    5.879150e-12    3.456441e-23
    0.000000e+00    1.420000e+00    2.792526e-12   -7.320548e-12    7.835089e-12    6.138862e-23
    0.000000e+00    1.440000e+00    5.219993e-12   -9.024051e-12    1.042506e-11    1.086818e-22
    0.000000e+00    1.460000e+00    8.755721e-12   -1.072995e-11    1.384899e-11    1.917945e-22
    0.000000e+00    1.480000e+00    1.373176e-11   -1.219933e-11    1.836804e-11    3.373849e-22
    0.000000e+00    1.500000e+00    2.052485e-11   -1.305093e-11    2.432275e-11    5.915963e-22
    0.000000e+00    1.520000e+00    2.953765e-11   -1.271073e-11    3.215642e-11    1.034036e-21
    0.000000e+00    1.540000e+00    4.116346e-11   -1.035176e-11    4.244513e-11    1.801589e-21
    0.000000e+00    1.560000e+00    5.572772e-11   -4.825242e-12    5.593623e-11    3.128861e-21
    0.000000e+00    1.580000e+00    7.339818e-11    5.414050e-12    7.359759e-11    5.416605e-21
