#Khoang cach binh phuong (R^2) cua 31_lan_thu
########################################################################################################################
#Lan thu:               x(dau)               y(dau)              x(cuoi)              y(cuoi)                  R^2
       1       0.000000000000       0.000000000000      48.674393054588     -19.810454579444    2761.650649876738
       2       0.000000000000       0.000000000000     -26.600477894835     -13.741259151226     896.407627294758
       3       0.000000000000       0.000000000000      19.638571890013      16.196956407916     648.014902759140
       4       0.000000000000       0.000000000000      -1.907483381262     -20.618087287735     428.744016254450
       5       0.000000000000       0.000000000000      20.140042979839      -5.894070467120     440.361397901138
       6       0.000000000000       0.000000000000      12.987321208584      30.137238373759    1076.923648971708
       7       0.000000000000       0.000000000000      -0.607044578722      -3.624858197285      13.508100070980
       8       0.000000000000       0.000000000000     -19.520042981358     -10.780090075465     497.242420029203
       9       0.000000000000       0.000000000000       6.944996105594      19.683448862867     435.671130043816
      10       0.000000000000       0.000000000000     -20.604993955659     -13.268839011116     600.627864615658
      11       0.000000000000       0.000000000000      31.171778377597      13.646875604029    1157.916980973866
      12       0.000000000000       0.000000000000     -14.282918182228     -20.297243167240     615.979831990290
      13       0.000000000000       0.000000000000      28.611680264973      11.940140879788     961.195211814230
      14       0.000000000000       0.000000000000       9.670015497527       9.780906908645     189.175339677992
      15       0.000000000000       0.000000000000     -33.806697760445      18.121715309008    1471.289379206812
      16       0.000000000000       0.000000000000      18.743148824492      16.395722251614     620.125336009126
      17       0.000000000000       0.000000000000     -27.639536771299       5.711527500933     796.565539325904
      18       0.000000000000       0.000000000000       9.218137403637     -14.455472250271     293.934735170686
      19       0.000000000000       0.000000000000       8.021371547976      -0.887084556160      65.129320520456
      20       0.000000000000       0.000000000000      31.945220708426     -30.903448278111    1975.520241587931
      21       0.000000000000       0.000000000000     -17.963301503707       5.861422401169     357.036473478008
      22       0.000000000000       0.000000000000     -38.353095147958     -40.493548491490    3110.687376860972
      23       0.000000000000       0.000000000000      26.082083228537     -24.402161020982    1275.740528034265
      24       0.000000000000       0.000000000000      27.598954906693      26.305749125582    1453.694748999732
      25       0.000000000000       0.000000000000       0.525471067718      17.287822938606     299.144941799600
      26       0.000000000000       0.000000000000      -6.107455005696       4.249711548515      55.361054892183
      27       0.000000000000       0.000000000000     -11.414960380011     -34.162805811068    1297.398621361962
      28       0.000000000000       0.000000000000      -7.762661843664     -27.641668809768     824.320773487978
      29       0.000000000000       0.000000000000     -21.689070428282      22.893915722630     994.547153157862
      30       0.000000000000       0.000000000000       8.033063527639     -11.565687902269     198.295246291775
      31       0.000000000000       0.000000000000      -8.388307412016      -0.214977276888      70.409916468061
########################################################################################################################
# Tong tat ca R^2 cua 31 trials: 25882.620508927281
# Trung binh R^2: 834.923242223461
