# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    143   1.430000000   0.480733875   1.330738960
    144   1.440000000   0.494041265   1.255131656
    145   1.450000000   0.506592581   1.177601954
    146   1.460000000   0.518368601   1.098271654
    147   1.470000000   0.529351317   1.017263336
    148   1.480000000   0.539523951   0.934700161
    149   1.490000000   0.548870952   0.850705695
    150   1.500000000   0.557378009   0.765403763
    151   1.510000000   0.565032047   0.678918332
    152   1.520000000   0.571821230   0.591373421
    153   1.530000000   0.577734964   0.502893034
    154   1.540000000   0.582763895   0.413601120
    155   1.550000000   0.586899906   0.323621554
    156   1.560000000   0.590136122   0.233078138
    157   1.570000000   0.592466903   0.142094619
    158   1.580000000   0.593887849   0.050794718
    159   1.590000000   0.594395796  -0.040697819
    160   1.600000000   0.593988818  -0.132259173
    161   1.610000000   0.592666226  -0.223765391
    162   1.620000000   0.590428572  -0.315092325
    163   1.630000000   0.587277649  -0.406115569
    164   1.640000000   0.583216493  -0.496710405
    165   1.650000000   0.578249389  -0.586751747
    166   1.660000000   0.572381872  -0.676114107
    167   1.670000000   0.565620731  -0.764671563
    168   1.680000000   0.557974015  -0.852297749
    169   1.690000000   0.549451038  -0.938865862
    170   1.700000000   0.540062379  -1.024248693
    171   1.710000000   0.529819892  -1.108318675
    172   1.720000000   0.518736705  -1.190947967
    173   1.730000000   0.506827226  -1.272008558
    174   1.740000000   0.494107140  -1.351372402
    175   1.750000000   0.480593416  -1.428911586
    176   1.760000000   0.466304300  -1.504498527
    177   1.770000000   0.451259315  -1.578006203
    178   1.780000000   0.435479253  -1.649308412
    179   1.790000000   0.418986169  -1.718280065
    180   1.800000000   0.401803368  -1.784797510
    181   1.810000000   0.383955393  -1.848738881
    182   1.820000000   0.365468004  -1.909984475
    183   1.830000000   0.346368160  -1.968417156
    184   1.840000000   0.326683988  -2.023922774
    185   1.850000000   0.306444760  -2.076390605
    186   1.860000000   0.285680854  -2.125713804
    187   1.870000000   0.264423716  -2.171789866
    188   1.880000000   0.242705818  -2.214521091
    189   1.890000000   0.220560607  -2.253815049
    190   1.900000000   0.198022456  -2.289585036
    191   1.910000000   0.175126606  -2.321750525
    192   1.920000000   0.151909101  -2.350237589
    193   1.930000000   0.128406725  -2.374979312
    194   1.940000000   0.104656932  -2.395916165
    195   1.950000000   0.080697770  -2.412996354
    196   1.960000000   0.056567806  -2.426176124
