# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
    143   1.430000000   0.592222332   2.002216371
    144   1.440000000   0.611783702   1.909618299
    145   1.450000000   0.630406178   1.814464237
    146   1.460000000   0.648064998   1.716913660
    147   1.470000000   0.664736990   1.617124951
    148   1.480000000   0.680400560   1.515255063
    149   1.490000000   0.695035672   1.411459247
    150   1.500000000   0.708623836   1.305890848
    151   1.510000000   0.721148084   1.198701154
    152   1.520000000   0.732592952   1.090039317
    153   1.530000000   0.742944454   0.980052328
    154   1.540000000   0.752190064   0.868885043
    155   1.550000000   0.760318696   0.756680262
    156   1.560000000   0.767320681   0.643578859
    157   1.570000000   0.773187748   0.529719944
    158   1.580000000   0.777913013   0.415241066
    159   1.590000000   0.781490957   0.300278450
    160   1.600000000   0.783917420   0.184967258
    161   1.610000000   0.785189588   0.069441864
    162   1.620000000   0.785305990  -0.046163845
    163   1.630000000   0.784266490  -0.161716168
    164   1.640000000   0.782072290  -0.277081280
    165   1.650000000   0.778725935  -0.392124930
    166   1.660000000   0.774231313  -0.506712136
    167   1.670000000   0.768593667  -0.620706912
    168   1.680000000   0.761819607  -0.733971992
    169   1.690000000   0.753917122  -0.846368599
    170   1.700000000   0.744895598  -0.957756229
    171   1.710000000   0.734765836  -1.067992481
    172   1.720000000   0.723540068  -1.176932921
    173   1.730000000   0.711231985  -1.284430993
    174   1.740000000   0.697856752  -1.390337979
    175   1.750000000   0.683431032  -1.494503015
    176   1.760000000   0.667973008  -1.596773164
    177   1.770000000   0.651502401  -1.696993541
    178   1.780000000   0.634040492  -1.795007518
    179   1.790000000   0.615610133  -1.890656973
    180   1.800000000   0.596235765  -1.983782622
    181   1.810000000   0.575943427  -2.074224405
    182   1.820000000   0.554760759  -2.161821945
    183   1.830000000   0.532717004  -2.246415064
    184   1.840000000   0.509843004  -2.327844363
    185   1.850000000   0.486171190  -2.405951857
    186   1.860000000   0.461735560  -2.480581664
    187   1.870000000   0.436571660  -2.551580735
    188   1.880000000   0.410716548  -2.618799630
    189   1.890000000   0.384208753  -2.682093314
    190   1.900000000   0.357088233  -2.741321984
    191   1.910000000   0.329396311  -2.796351903
    192   1.920000000   0.301175616  -2.847056234
    193   1.930000000   0.272470004  -2.893315865
    194   1.940000000   0.243324485  -2.935020215
    195   1.950000000   0.213785124  -2.972068004
    196   1.960000000   0.183898953  -3.004367977
    197   1.970000000   0.153713862  -3.031839579
    198   1.980000000   0.123278490  -3.054413558
    199   1.990000000   0.092642110  -3.072032495
    200   2.000000000   0.061854510  -3.084651252
    201   2.010000000   0.030965864  -3.092237325
    202   2.020000000   0.000026608  -3.094771102
    203   2.030000000  -0.030912692  -3.092246022
    204   2.040000000  -0.061801469  -3.084668623
    205   2.050000000  -0.092589286  -3.072058495
    206   2.060000000  -0.123225968  -3.054448121
    207   2.070000000  -0.153661728  -3.031882616
    208   2.080000000  -0.183847292  -3.004419379
    209   2.090000000  -0.213734018  -2.972127643
    210   2.100000000  -0.243274016  -2.935087942
    211   2.110000000  -0.272420252  -2.893391515
    212   2.120000000  -0.301126659  -2.847139624
    213   2.130000000  -0.329348226  -2.796442836
    214   2.140000000  -0.357041094  -2.741420248
    215   2.150000000  -0.384162633  -2.682198685
    216   2.160000000  -0.410671516  -2.618911872
    217   2.170000000  -0.436527784  -2.551699603
    218   2.180000000  -0.461692905  -2.480706905
    219   2.190000000  -0.486129817  -2.406083211
    220   2.200000000  -0.509802975  -2.327981564
