# Giai phuong trinh f(x) = 0 bang phuong phap Newton Raphson 
# Do chinh xac cua phep tinh la: 1e-08
########################################################################################################################
  i                          p                       f(p)                     df(p)                    Sai so
  0         1.9263271401216762     4.5156472693922449e+00       -9.4841215270464598    1.9845118064728995e-01
  1         2.4024542391381418     2.2450300006982564e+00       -2.6980546753185060    4.7612709901646566e-01
  2         3.2345463465500237     6.3664380449128422e-01       -1.6579253088567136    8.3209210741188189e-01
  3         3.6185466396213122    -4.2758285160938048e-02       -1.9810553225583991    3.8400029307128847e-01
  4         3.5969630499688443    -4.0553994785147429e-04       -1.9440257591292718    2.1583589652467872e-02
  5         3.5967544416487400    -3.5684416421766230e-08       -1.9436836892904665    2.0860832010427544e-04
  6         3.5967544232895716    -8.8817841970012523e-16       -1.9436836591985713    1.8359168407755533e-08
  7         3.5967544232895712     3.3306690738754696e-16       -1.9436836591985698    4.4408920985006262e-16
