# Giai phuong trinh f(x) = 0 bang phuong phap Secant
# Do chinh xac cua phep tinh la: 1e-08
##############################################################################################################
  i                          p                       f(p)                     Sai so
  0         1.1133328559765958     1.4236948929390825e+00     3.0038383813881109e-01
  1         1.1973966006887617     6.3883040965625160e-01     8.4063744712165933e-02
  2         1.2658192107259643    -1.7532737930708153e-01     6.8422610037202514e-02
  3         1.2510845277618081     2.0045901843658953e-02     1.4734682964156143e-02
  4         1.2525963517259511     6.0370517890850905e-04     1.5118239641429554e-03
  5         1.2526432958018952    -2.1105840279922461e-06     4.6944075944077568e-05
  6         1.2526431322547857     2.2184964976190713e-10     1.6354710941079986e-07
  7         1.2526431322719749     0.0000000000000000e+00     1.7189139001061449e-11
