Giai phuong trinh f(x) = 0 bang phuong phap diem co dinh
######################################################################
  i            p0               f(p0)
  0  1.0000000000        1.4142135624
  1  1.4142135624        1.3590402174
  2  1.3590402174        1.3660182195
  3  1.3660182195        1.3651297415
  4  1.3651297415        1.3652427711
  5  1.3652427711        1.3652283903
  6  1.3652283903        1.3652302199
  7  1.3652302199        1.3652299871
  8  1.3652299871        1.3652300168
  9  1.3652300168        1.3652300130
 10  1.3652300130        1.3652300135
