Giai phuong trinh f(x) = 0 bang phuong phap diem co dinh
######################################################################
  i            p0               f(p0)
  0  1.0000000000        1.4545454545
  1  1.4545454545        1.3689004011
  2  1.3689004011        1.3652366002
  3  1.3652366002        1.3652300134
  4  1.3652300134        1.3652300134
