Giai phuong trinh f(x) = 0 bang phuong phap diem co dinh
######################################################################
  i             p                f(p)
  0  1.0000000000        1.0000000000
  1  6.0000000000        6.0000000000
  2  -344.0000000000     -344.0000000000
  3  40233906.0000000000  40233906.0000000000
  4  -65129333514558058266624.0000000000  -65129333514558058266624.0000000000
