# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
    143   1.430000000   0.459259608   1.016815277
    144   1.440000000   0.469049596   0.940915660
    145   1.450000000   0.478072793   0.863477855
    146   1.460000000   0.486314447   0.784628457
    147   1.470000000   0.493761086   0.704496365
    148   1.480000000   0.500400535   0.623212579
    149   1.490000000   0.506221941   0.540909980
    150   1.500000000   0.511215787   0.457723113
    151   1.510000000   0.515373909   0.373787970
    152   1.520000000   0.518689509   0.289241768
    153   1.530000000   0.521157168   0.204222720
    154   1.540000000   0.522772850   0.118869813
    155   1.550000000   0.523533916   0.033322581
    156   1.560000000   0.523439120  -0.052279126
    157   1.570000000   0.522488618  -0.137795369
    158   1.580000000   0.520683964  -0.223086347
    159   1.590000000   0.518028107  -0.308012628
    160   1.600000000   0.514525390  -0.392435378
    161   1.610000000   0.510181538  -0.476216583
    162   1.620000000   0.505003654  -0.559219280
    163   1.630000000   0.499000201  -0.641307778
    164   1.640000000   0.492180993  -0.722347881
    165   1.650000000   0.484557180  -0.802207106
    166   1.660000000   0.476141223  -0.880754901
    167   1.670000000   0.466946882  -0.957862858
    168   1.680000000   0.456989186  -1.033404923
    169   1.690000000   0.446284415  -1.107257600
    170   1.700000000   0.434850069  -1.179300159
    171   1.710000000   0.422704839  -1.249414824
    172   1.720000000   0.409868582  -1.317486975
    173   1.730000000   0.396362280  -1.383405328
    174   1.740000000   0.382208015  -1.447062122
    175   1.750000000   0.367428924  -1.508353291
    176   1.760000000   0.352049169  -1.567178639
    177   1.770000000   0.336093892  -1.623441999
    178   1.780000000   0.319589177  -1.677051393
    179   1.790000000   0.302562004  -1.727919182
    180   1.800000000   0.285040210  -1.775962208
    181   1.810000000   0.267052439  -1.821101932
    182   1.820000000   0.248628097  -1.863264559
    183   1.830000000   0.229797303  -1.902381165
    184   1.840000000   0.210590841  -1.938387801
    185   1.850000000   0.191040111  -1.971225605
    186   1.860000000   0.171177073  -2.000840894
    187   1.870000000   0.151034198  -2.027185254
    188   1.880000000   0.130644416  -2.050215618
    189   1.890000000   0.110041059  -2.069894336
    190   1.900000000   0.089257810  -2.086189239
    191   1.910000000   0.068328644  -2.099073687
    192   1.920000000   0.047287776  -2.108526617
    193   1.930000000   0.026169603  -2.114532575
    194   1.940000000   0.005008649  -2.117081745
    195   1.950000000  -0.016160494  -2.116169957
    196   1.960000000  -0.037303217  -2.111798703
    197   1.970000000  -0.058384958  -2.103975129
    198   1.980000000  -0.079371253  -2.092712024
    199   1.990000000  -0.100227794  -2.078027802
    200   2.000000000  -0.120920484  -2.059946467
    201   2.010000000  -0.141415496  -2.038497578
    202   2.020000000  -0.161679326  -2.013716200
    203   2.030000000  -0.181678846  -1.985642845
    204   2.040000000  -0.201381361  -1.954323407
    205   2.050000000  -0.220754663  -1.919809085
    206   2.060000000  -0.239767080  -1.882156303
    207   2.070000000  -0.258387531  -1.841426615
    208   2.080000000  -0.276585576  -1.797686604
    209   2.090000000  -0.294331466  -1.751007777
    210   2.100000000  -0.311596189  -1.701466442
    211   2.110000000  -0.328351521  -1.649143589
    212   2.120000000  -0.344570073  -1.594124753
    213   2.130000000  -0.360225328  -1.536499879
    214   2.140000000  -0.375291696  -1.476363170
    215   2.150000000  -0.389744546  -1.413812935
    216   2.160000000  -0.403560250  -1.348951432
    217   2.170000000  -0.416716222  -1.281884694
    218   2.180000000  -0.429190957  -1.212722360
    219   2.190000000  -0.440964060  -1.141577495
    220   2.200000000  -0.452016285  -1.068566405
    221   2.210000000  -0.462329565  -0.993808448
    222   2.220000000  -0.471887038  -0.917425835
    223   2.230000000  -0.480673081  -0.839543435
    224   2.240000000  -0.488673331  -0.760288568
    225   2.250000000  -0.495874709  -0.679790800
    226   2.260000000  -0.502265442  -0.598181725
    227   2.270000000  -0.507835084  -0.515594756
    228   2.280000000  -0.512574527  -0.432164904
    229   2.290000000  -0.516476026  -0.348028559
    230   2.300000000  -0.519533202  -0.263323266
    231   2.310000000  -0.521741056  -0.178187497
    232   2.320000000  -0.523095981  -0.092760431
    233   2.330000000  -0.523595759  -0.007181723
    234   2.340000000  -0.523239576   0.078408726
    235   2.350000000  -0.522028012   0.163870994
    236   2.360000000  -0.519963049   0.249065369
    237   2.370000000  -0.517048062   0.333852578
    238   2.380000000  -0.513287817   0.418094013
    239   2.390000000  -0.508688461   0.501651957
    240   2.400000000  -0.503257512   0.584389811
    241   2.410000000  -0.497003849   0.666172319
    242   2.420000000  -0.489937696   0.746865783
    243   2.430000000  -0.482070604   0.826338289
    244   2.440000000  -0.473415434   0.904459915
    245   2.450000000  -0.463986335   0.981102950
    246   2.460000000  -0.453798722   1.056142102
    247   2.470000000  -0.442869249   1.129454696
    248   2.480000000  -0.431215783   1.200920883
    249   2.490000000  -0.418857376   1.270423832
    250   2.500000000  -0.405814231   1.337849921
    251   2.510000000  -0.392107669   1.403088924
    252   2.520000000  -0.377760099   1.466034189
    253   2.530000000  -0.362794975   1.526582815
    254   2.540000000  -0.347236762   1.584635818
    255   2.550000000  -0.331110895   1.640098295
    256   2.560000000  -0.314443735   1.692879577
    257   2.570000000  -0.297262530   1.742893377
    258   2.580000000  -0.279595366   1.790057935
    259   2.590000000  -0.261471127   1.834296148
    260   2.600000000  -0.242919440   1.875535695
    261   2.610000000  -0.223970634   1.913709159
    262   2.620000000  -0.204655687   1.948754135
    263   2.630000000  -0.185006172   1.980613332
    264   2.640000000  -0.165054214   2.009234667
    265   2.650000000  -0.144832429   2.034571352
    266   2.660000000  -0.124373876   2.056581966
    267   2.670000000  -0.103711998   2.075230527
    268   2.680000000  -0.082880575   2.090486548
    269   2.690000000  -0.061913661   2.102325089
    270   2.700000000  -0.040845531   2.110726798
    271   2.710000000  -0.019710628   2.115677938
    272   2.720000000   0.001456497   2.117170417
    273   2.730000000   0.022621242   2.115201793
    274   2.740000000   0.043749005   2.109775286
    275   2.750000000   0.064805249   2.100899767
    276   2.760000000   0.085755551   2.088589744
    277   2.770000000   0.106565661   2.072865343
    278   2.780000000   0.127201560   2.053752269
    279   2.790000000   0.147629514   2.031281767
    280   2.800000000   0.167816125   2.005490573
    281   2.810000000   0.187728395   1.976420848
    282   2.820000000   0.207333771   1.944120115
    283   2.830000000   0.226600202   1.908641180
    284   2.840000000   0.245496192   1.870042041
    285   2.850000000   0.263990851   1.828385800
    286   2.860000000   0.282053943   1.783740556
    287   2.870000000   0.299655941   1.736179294
    288   2.880000000   0.316768067   1.685779765
    289   2.890000000   0.333362348   1.632624362
    290   2.900000000   0.349411657   1.576799982
    291   2.910000000   0.364889755   1.518397886
    292   2.920000000   0.379771339   1.457513547
    293   2.930000000   0.394032082   1.394246498
    294   2.940000000   0.407648670   1.328700167
    295   2.950000000   0.420598844   1.260981707
    296   2.960000000   0.432861432   1.191201824
    297   2.970000000   0.444416388   1.119474590
    298   2.980000000   0.455244823   1.045917265
    299   2.990000000   0.465329033   0.970650099
    300   3.000000000   0.474652535   0.893796136
    301   3.010000000   0.483200085   0.815481015
    302   3.020000000   0.490957711   0.735832765
    303   3.030000000   0.497912730   0.654981592
    304   3.040000000   0.504053773   0.573059670
    305   3.050000000   0.509370800   0.490200923
    306   3.060000000   0.513855120   0.406540807
    307   3.070000000   0.517499400   0.322216087
    308   3.080000000   0.520297685   0.237364616
    309   3.090000000   0.522245399   0.152125107
    310   3.100000000   0.523339358   0.066636906
    311   3.110000000   0.523577774  -0.018960230
    312   3.120000000   0.522960257  -0.104526371
    313   3.130000000   0.521487816  -0.189921634
    314   3.140000000   0.519162859  -0.275006418
    315   3.150000000   0.515989187  -0.359641628
    316   3.160000000   0.511971987  -0.443688904
    317   3.170000000   0.507117827  -0.527010847
    318   3.180000000   0.501434642  -0.609471245
    319   3.190000000   0.494931723  -0.690935293
    320   3.200000000   0.487619702  -0.771269817
    321   3.210000000   0.479510530  -0.850343485
    322   3.220000000   0.470617466  -0.928027032
    323   3.230000000   0.460955047  -1.004193461
    324   3.240000000   0.450539070  -1.078718258
    325   3.250000000   0.439386561  -1.151479591
    326   3.260000000   0.427515754  -1.222358511
    327   3.270000000   0.414946053  -1.291239147
    328   3.280000000   0.401698008  -1.358008895
    329   3.290000000   0.387793276  -1.422558601
    330   3.300000000   0.373254589  -1.484782741
    331   3.310000000   0.358105713  -1.544579592
    332   3.320000000   0.342371415  -1.601851399
    333   3.330000000   0.326077415  -1.656504537
    334   3.340000000   0.309250352  -1.708449658
    335   3.350000000   0.291917733  -1.757601845
    336   3.360000000   0.274107894  -1.803880745
    337   3.370000000   0.255849950  -1.847210701
    338   3.380000000   0.237173747  -1.887520880
    339   3.390000000   0.218109819  -1.924745383
    340   3.400000000   0.198689330  -1.958823355
    341   3.410000000   0.178944027  -1.989699088
    342   3.420000000   0.158906192  -2.017322107
    343   3.430000000   0.138608580  -2.041647253
    344   3.440000000   0.118084374  -2.062634761
    345   3.450000000   0.097367126  -2.080250321
    346   3.460000000   0.076490704  -2.094465135
    347   3.470000000   0.055489238  -2.105255965
    348   3.480000000   0.034397059  -2.112605171
    349   3.490000000   0.013248648  -2.116500738
    350   3.500000000  -0.007921421  -2.116936299
    351   3.510000000  -0.029078541  -2.113911140
    352   3.520000000  -0.050188123  -2.107430207
    353   3.530000000  -0.071215659  -2.097504095
    354   3.540000000  -0.092126774  -2.084149032
    355   3.550000000  -0.112887281  -2.067386849
    356   3.560000000  -0.133463243  -2.047244950
    357   3.570000000  -0.153821023  -2.023756261
    358   3.580000000  -0.173927339  -1.996959182
    359   3.590000000  -0.193749323  -1.966897520
    360   3.600000000  -0.213254570  -1.933620418
