# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
      0   0.000000000   0.523598776   0.000000000
      1   0.010000000   0.523190074  -0.081730706
      2   0.020000000   0.521964547  -0.163345658
      3   0.030000000   0.519923932  -0.244729103
      4   0.040000000   0.517071123  -0.325765291
      5   0.050000000   0.513410170  -0.406338485
      6   0.060000000   0.508946282  -0.486332973
      7   0.070000000   0.503685825  -0.565633092
      8   0.080000000   0.497636320  -0.644123265
      9   0.090000000   0.490806445  -0.721688044
     10   0.100000000   0.483206029  -0.798212177
     11   0.110000000   0.474846054  -0.873580681
     12   0.120000000   0.465738649  -0.947678944
     13   0.130000000   0.455897090  -1.020392836
     14   0.140000000   0.445335786  -1.091608844
     15   0.150000000   0.434070282  -1.161214226
     16   0.160000000   0.422117243  -1.229097191
     17   0.170000000   0.409494449  -1.295147088
     18   0.180000000   0.396220777  -1.359254628
     19   0.190000000   0.382316190  -1.421312117
     20   0.200000000   0.367801721  -1.481213712
     21   0.210000000   0.352699449  -1.538855693
     22   0.220000000   0.337032478  -1.594136748
     23   0.230000000   0.320824913  -1.646958277
     24   0.240000000   0.304101831  -1.697224707
     25   0.250000000   0.286889245  -1.744843805
     26   0.260000000   0.269214075  -1.789727016
     27   0.270000000   0.251104107  -1.831789786
     28   0.280000000   0.232587950  -1.870951894
     29   0.290000000   0.213694991  -1.907137781
     30   0.300000000   0.194455352  -1.940276864
     31   0.310000000   0.174899829  -1.970303849
     32   0.320000000   0.155059849  -1.997159022
     33   0.330000000   0.134967403  -2.020788527
     34   0.340000000   0.114654991  -2.041144618
     35   0.350000000   0.094155561  -2.058185896
     36   0.360000000   0.073502441  -2.071877506
     37   0.370000000   0.052729272  -2.082191315
     38   0.380000000   0.031869946  -2.089106055
     39   0.390000000   0.010958531  -2.092607429
     40   0.400000000  -0.009970799  -2.092688185
     41   0.410000000  -0.030883829  -2.089348158
     42   0.420000000  -0.051746380  -2.082594263
     43   0.430000000  -0.072524379  -2.072440466
     44   0.440000000  -0.093183925  -2.058907709
     45   0.450000000  -0.113691361  -2.042023804
     46   0.460000000  -0.134013344  -2.021823291
     47   0.470000000  -0.154116907  -1.998347267
     48   0.480000000  -0.173969527  -1.971643182
     49   0.490000000  -0.193539187  -1.941764609
     50   0.500000000  -0.212794435  -1.908770991
     51   0.510000000  -0.231704439  -1.872727367
     52   0.520000000  -0.250239048  -1.833704076
     53   0.530000000  -0.268368838  -1.791776449
     54   0.540000000  -0.286065162  -1.747024495
     55   0.550000000  -0.303300194  -1.699532569
     56   0.560000000  -0.320046973  -1.649389048
     57   0.570000000  -0.336279442  -1.596685995
     58   0.580000000  -0.351972479  -1.541518835
     59   0.590000000  -0.367101932  -1.483986032
     60   0.600000000  -0.381644650  -1.424188777
     61   0.610000000  -0.395578504  -1.362230681
     62   0.620000000  -0.408882413  -1.298217496
     63   0.630000000  -0.421536362  -1.232256832
     64   0.640000000  -0.433521421  -1.164457911
     65   0.650000000  -0.444819761  -1.094931321
     66   0.660000000  -0.455414661  -1.023788807
     67   0.670000000  -0.465290526  -0.951143068
     68   0.680000000  -0.474432889  -0.877107585
     69   0.690000000  -0.482828425  -0.801796463
     70   0.700000000  -0.490464948  -0.725324293
     71   0.710000000  -0.497331423  -0.647806043
     72   0.720000000  -0.503417966  -0.569356954
     73   0.730000000  -0.508715844  -0.490092466
     74   0.740000000  -0.513217482  -0.410128152
     75   0.750000000  -0.516916460  -0.329579672
     76   0.760000000  -0.519807514  -0.248562735
     77   0.770000000  -0.521886539  -0.167193078
     78   0.780000000  -0.523150586  -0.085586451
     79   0.790000000  -0.523597864  -0.003858605
     80   0.800000000  -0.523227740   0.077874703
     81   0.810000000  -0.522040737   0.159497721
     82   0.820000000  -0.520038539   0.240894696
     83   0.830000000  -0.517223983   0.321949877
     84   0.840000000  -0.513601066   0.402547527
     85   0.850000000  -0.509174943   0.482571931
     86   0.860000000  -0.503951924   0.561907424
     87   0.870000000  -0.497939477   0.640438423
     88   0.880000000  -0.491146222   0.718049474
     89   0.890000000  -0.483581938   0.794625313
     90   0.900000000  -0.475257550   0.870050944
     91   0.910000000  -0.466185136   0.944211733
     92   0.920000000  -0.456377913   1.016993525
     93   0.930000000  -0.445850241   1.088282775
     94   0.940000000  -0.434617609   1.157966701
     95   0.950000000  -0.422696631   1.225933461
     96   0.960000000  -0.410105033   1.292072348
     97   0.970000000  -0.396861642   1.356274002
     98   0.980000000  -0.382986370   1.418430649
     99   0.990000000  -0.368500200   1.478436353
    100   1.000000000  -0.353425160   1.536187285
    101   1.010000000  -0.337784309   1.591582016
    102   1.020000000  -0.321601704   1.644521809
    103   1.030000000  -0.304902376   1.694910941
    104   1.040000000  -0.287712296   1.742657015
    105   1.050000000  -0.270058343   1.787671294
    106   1.060000000  -0.251968260   1.829869028
    107   1.070000000  -0.233470620   1.869169784
    108   1.080000000  -0.214594775   1.905497776
    109   1.090000000  -0.195370811   1.938782179
    110   1.100000000  -0.175829497   1.968957443
    111   1.110000000  -0.156002227   1.995963584
    112   1.120000000  -0.135920971   2.019746463
    113   1.130000000  -0.115618204   2.040258042
    114   1.140000000  -0.095126855   2.057456615
    115   1.150000000  -0.074480234   2.071307015
    116   1.160000000  -0.053711972   2.081780790
    117   1.170000000  -0.032855947   2.088856342
    118   1.180000000  -0.011946223   2.092519046
    119   1.190000000   0.008983030   2.092761315
    120   1.200000000   0.029897599   2.089582649
    121   1.210000000   0.050763300   2.082989630
    122   1.220000000   0.071546054   2.072995892
    123   1.230000000   0.092211949   2.059622050
    124   1.240000000   0.112727318   2.042895596
    125   1.250000000   0.133058798   2.022850754
    126   1.260000000   0.153173406   1.999528316
    127   1.270000000   0.173038595   1.972975438
    128   1.280000000   0.192622323   1.943245410
    129   1.290000000   0.211893108   1.910397403
    130   1.300000000   0.230820092   1.874496199
    131   1.310000000   0.249373087   1.835611892
    132   1.320000000   0.267522635   1.793819586
    133   1.330000000   0.285240051   1.749199076
    134   1.340000000   0.302497469   1.701834521
    135   1.350000000   0.319267887   1.651814113
    136   1.360000000   0.335525203   1.599229749
    137   1.370000000   0.351244252   1.544176704
    138   1.380000000   0.366400835   1.486753305
    139   1.390000000   0.380971753   1.427060620
    140   1.400000000   0.394934828   1.365202155
    141   1.410000000   0.408268928   1.301283564
    142   1.420000000   0.420953990   1.235412377
    143   1.430000000   0.432971030   1.167697745
    144   1.440000000   0.444302168   1.098250197
    145   1.450000000   0.454930630   1.027181427
    146   1.460000000   0.464840767   0.954604095
    147   1.470000000   0.474018061   0.880631647
    148   1.480000000   0.482449130   0.805378161
    149   1.490000000   0.490121736   0.728958210
    150   1.500000000   0.497024789   0.651486746
    151   1.510000000   0.503148349   0.573078998
    152   1.520000000   0.508483632   0.493850400
    153   1.530000000   0.513023006   0.413916518
    154   1.540000000   0.516759997   0.333393009
    155   1.550000000   0.519689287   0.252395581
    156   1.560000000   0.521806715   0.171039970
    157   1.570000000   0.523109278   0.089441925
    158   1.580000000   0.523595131   0.007717198
    159   1.590000000   0.523263585  -0.074018455
    160   1.600000000   0.522115111  -0.155649282
    161   1.610000000   0.520151335  -0.237059528
    162   1.620000000   0.517375042  -0.318133445
    163   1.630000000   0.513790173  -0.398755292
    164   1.640000000   0.509401829  -0.478809354
    165   1.650000000   0.504216264  -0.558179964
    166   1.660000000   0.498240893  -0.636751532
    167   1.670000000   0.491484282  -0.714408599
    168   1.680000000   0.483956154  -0.791035888
    169   1.690000000   0.475667381  -0.866518389
    170   1.700000000   0.466629984  -0.940741450
    171   1.710000000   0.456857131  -1.013590889
    172   1.720000000   0.446363124  -1.084953129
    173   1.730000000   0.435163402  -1.154715349
    174   1.740000000   0.423274524  -1.222765659
    175   1.750000000   0.410714165  -1.288993292
    176   1.760000000   0.397501099  -1.353288821
    177   1.770000000   0.383655189  -1.415544390
    178   1.780000000   0.369197365  -1.475653970
    179   1.790000000   0.354149610  -1.533513629
    180   1.800000000   0.338534932  -1.589021814
    181   1.810000000   0.322377343  -1.642079659
    182   1.820000000   0.305701827  -1.692591286
    183   1.830000000   0.288534314  -1.740464138
    184   1.840000000   0.270901638  -1.785609296
    185   1.850000000   0.252831505  -1.827941815
    186   1.860000000   0.234352447  -1.867381051
    187   1.870000000   0.215493783  -1.903850990
    188   1.880000000   0.196285563  -1.937280567
    189   1.890000000   0.176758527  -1.967603976
    190   1.900000000   0.156944040  -1.994760964
    191   1.910000000   0.136874045  -2.018697110
    192   1.920000000   0.116580997  -2.039364083
    193   1.930000000   0.096097802  -2.056719873
    194   1.940000000   0.075457756  -2.070729001
    195   1.950000000   0.054694475  -2.081362692
    196   1.960000000   0.033841829  -2.088599025
    197   1.970000000   0.012933871  -2.092423041
    198   1.980000000  -0.007995229  -2.092826822
    199   1.990000000  -0.028911260  -2.089809532
    200   2.000000000  -0.049780036  -2.083377419
    201   2.010000000  -0.070567468  -2.073543786
    202   2.020000000  -0.091239639  -2.060328922
    203   2.030000000  -0.111762865  -2.043759993
    204   2.040000000  -0.132103770  -2.023870913
    205   2.050000000  -0.152229349  -2.000702167
    206   2.060000000  -0.172107036  -1.974300615
    207   2.070000000  -0.191704761  -1.944719263
    208   2.080000000  -0.210991016  -1.912017012
    209   2.090000000  -0.229934912  -1.876258383
    210   2.100000000  -0.248506228  -1.837513228
    211   2.110000000  -0.266675469  -1.795856422
    212   2.120000000  -0.284413915  -1.751367544
    213   2.130000000  -0.301693659  -1.704130555
    214   2.140000000  -0.318487657  -1.654233465
    215   2.150000000  -0.334769766  -1.601768003
    216   2.160000000  -0.350514772  -1.546829292
    217   2.170000000  -0.365698434  -1.489515522
    218   2.180000000  -0.380297502  -1.429927638
    219   2.190000000  -0.394289750  -1.368169037
    220   2.200000000  -0.407653998  -1.304345280
    221   2.210000000  -0.420370129  -1.238563814
    222   2.220000000  -0.432419111  -1.170933717
    223   2.230000000  -0.443783009  -1.101565460
    224   2.240000000  -0.454444998  -1.030570686
    225   2.250000000  -0.464389376  -0.958062013
    226   2.260000000  -0.473601570  -0.884152854
    227   2.270000000  -0.482068145  -0.808957260
    228   2.280000000  -0.489776809  -0.732589785
    229   2.290000000  -0.496716417  -0.655165363
    230   2.300000000  -0.502876977  -0.576799214
    231   2.310000000  -0.508249647  -0.497606762
    232   2.320000000  -0.512826742  -0.417703569
    233   2.330000000  -0.516601734  -0.337205289
    234   2.340000000  -0.519569250  -0.256227628
    235   2.350000000  -0.521725075  -0.174886321
    236   2.360000000  -0.523066150  -0.093297116
    237   2.370000000  -0.523590576  -0.011575766
