# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
      0   0.000000000   0.261799388   0.000000000
      1   0.010000000   0.261587831  -0.042305775
      2   0.020000000   0.260953495  -0.084544740
      3   0.030000000   0.259897381  -0.126650169
      4   0.040000000   0.258421159  -0.168555499
      5   0.050000000   0.256527160  -0.210194420
      6   0.060000000   0.254218378  -0.251500954
      7   0.070000000   0.251498467  -0.292409542
      8   0.080000000   0.248371731  -0.332855130
      9   0.090000000   0.244843123  -0.372773257
     10   0.100000000   0.240918237  -0.412100141
     11   0.110000000   0.236603301  -0.450772772
     12   0.120000000   0.231905170  -0.488729003
     13   0.130000000   0.226831313  -0.525907641
     14   0.140000000   0.221389810  -0.562248541
     15   0.150000000   0.215589332  -0.597692705
     16   0.160000000   0.209439138  -0.632182376
     17   0.170000000   0.202949055  -0.665661135
     18   0.180000000   0.196129468  -0.698074003
     19   0.190000000   0.188991306  -0.729367538
     20   0.200000000   0.181546022  -0.759489936
     21   0.210000000   0.173805579  -0.788391129
     22   0.220000000   0.165782431  -0.816022884
     23   0.230000000   0.157489507  -0.842338903
     24   0.240000000   0.148940187  -0.867294920
     25   0.250000000   0.140148283  -0.890848793
     26   0.260000000   0.131128019  -0.912960603
     27   0.270000000   0.121894004  -0.933592736
     28   0.280000000   0.112461214  -0.952709978
     29   0.290000000   0.102844964  -0.970279592
     30   0.300000000   0.093060883  -0.986271401
     31   0.310000000   0.083124888  -1.000657860
     32   0.320000000   0.073053160  -1.013414122
     33   0.330000000   0.062862114  -1.024518106
     34   0.340000000   0.052568371  -1.033950552
     35   0.350000000   0.042188730  -1.041695066
     36   0.360000000   0.031740141  -1.047738170
     37   0.370000000   0.021239674  -1.052069333
     38   0.380000000   0.010704487  -1.054681001
     39   0.390000000   0.000151802  -1.055568615
     40   0.400000000  -0.010401132  -1.054730626
     41   0.410000000  -0.020937063  -1.052168496
     42   0.420000000  -0.031438769  -1.047886698
     43   0.430000000  -0.041889089  -1.041892699
     44   0.440000000  -0.052270950  -1.034196947
     45   0.450000000  -0.062567399  -1.024812835
     46   0.460000000  -0.072761632  -1.013756672
     47   0.470000000  -0.082837022  -1.001047637
     48   0.480000000  -0.092777148  -0.986707733
     49   0.490000000  -0.102565822  -0.970761725
     50   0.500000000  -0.112187120  -0.953237083
     51   0.510000000  -0.121625402  -0.934163908
     52   0.520000000  -0.130865344  -0.913574866
     53   0.530000000  -0.139891962  -0.891505101
     54   0.540000000  -0.148690635  -0.867992157
     55   0.550000000  -0.157247127  -0.843075891
     56   0.560000000  -0.165547615  -0.816798380
     57   0.570000000  -0.173578704  -0.789203831
     58   0.580000000  -0.181327455  -0.760338485
     59   0.590000000  -0.188781398  -0.730250521
     60   0.600000000  -0.195928556  -0.698989954
     61   0.610000000  -0.202757460  -0.666608542
     62   0.620000000  -0.209257168  -0.633159679
     63   0.630000000  -0.215417278  -0.598698303
     64   0.640000000  -0.221227947  -0.563280792
     65   0.650000000  -0.226679899  -0.526964865
     66   0.660000000  -0.231764446  -0.489809488
     67   0.670000000  -0.236473491  -0.451874772
     68   0.680000000  -0.240799547  -0.413221882
     69   0.690000000  -0.244735741  -0.373912939
     70   0.700000000  -0.248275828  -0.334010931
     71   0.710000000  -0.251414195  -0.293579616
