# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    143   1.430000000   0.515270751   1.149366029
    144   1.440000000   0.526764411   1.065119261
    145   1.450000000   0.537415604   0.978993280
    146   1.460000000   0.547205537   0.891125829
    147   1.470000000   0.556116795   0.801657723
    148   1.480000000   0.564133372   0.710732627
    149   1.490000000   0.571240699   0.618496821
    150   1.500000000   0.577425667   0.525098967
    151   1.510000000   0.582676656   0.430689870
    152   1.520000000   0.586983555   0.335422237
    153   1.530000000   0.590337777   0.239450426
    154   1.540000000   0.592732282   0.142930199
    155   1.550000000   0.594161584   0.046018471
    156   1.560000000   0.594621768  -0.051126948
    157   1.570000000   0.594110499  -0.148347607
    158   1.580000000   0.592627023  -0.245484674
    159   1.590000000   0.590172176  -0.342379192
    160   1.600000000   0.586748384  -0.438872343
    161   1.610000000   0.582359661  -0.534805704
    162   1.620000000   0.577011604  -0.630021508
    163   1.630000000   0.570711389  -0.724362905
    164   1.640000000   0.563467760  -0.817674217
    165   1.650000000   0.555291017  -0.909801196
    166   1.660000000   0.546193006  -1.000591277
    167   1.670000000   0.536187093  -1.089893834
    168   1.680000000   0.525288154  -1.177560423
    169   1.690000000   0.513512550  -1.263445037
    170   1.700000000   0.500878100  -1.347404339
    171   1.710000000   0.487404056  -1.429297908
    172   1.720000000   0.473111077  -1.508988471
    173   1.730000000   0.458021193  -1.586342132
    174   1.740000000   0.442157771  -1.661228597
    175   1.750000000   0.425545485  -1.733521393
    176   1.760000000   0.408210271  -1.803098080
    177   1.770000000   0.390179291  -1.869840459
    178   1.780000000   0.371480886  -1.933634773
    179   1.790000000   0.352144538  -1.994371898
    180   1.800000000   0.332200819  -2.051947530
    181   1.810000000   0.311681344  -2.106262364
    182   1.820000000   0.290618720  -2.157222264
    183   1.830000000   0.269046498  -2.204738425
    184   1.840000000   0.246999113  -2.248727527
    185   1.850000000   0.224511838  -2.289111882
    186   1.860000000   0.201620719  -2.325819568
    187   1.870000000   0.178362524  -2.358784555
    188   1.880000000   0.154774678  -2.387946828
    189   1.890000000   0.130895210  -2.413252488
    190   1.900000000   0.106762685  -2.434653854
    191   1.910000000   0.082416146  -2.452109553
    192   1.920000000   0.057895051  -2.465584593
    193   1.930000000   0.033239205  -2.475050434
    194   1.940000000   0.008488701  -2.480485044
    195   1.950000000  -0.016316150  -2.481872947
    196   1.960000000  -0.041134879  -2.479205256
    197   1.970000000  -0.065926932  -2.472479704
    198   1.980000000  -0.090651729  -2.461700650
    199   1.990000000  -0.115268735  -2.446879093
    200   2.000000000  -0.139737526  -2.428032654
    201   2.010000000  -0.164017853  -2.405185569
    202   2.020000000  -0.188069709  -2.378368650
    203   2.030000000  -0.211853395  -2.347619252
    204   2.040000000  -0.235329588  -2.312981222
    205   2.050000000  -0.258459400  -2.274504835
    206   2.060000000  -0.281204448  -2.232246723
    207   2.070000000  -0.303526915  -2.186269796
    208   2.080000000  -0.325389613  -2.136643145
    209   2.090000000  -0.346756045  -2.083441943
    210   2.100000000  -0.367590464  -2.026747330
    211   2.110000000  -0.387857937  -1.966646289
    212   2.120000000  -0.407524400  -1.903231516
    213   2.130000000  -0.426556716  -1.836601277
    214   2.140000000  -0.444922728  -1.766859254
    215   2.150000000  -0.462591321  -1.694114388
    216   2.160000000  -0.479532465  -1.618480707
    217   2.170000000  -0.495717272  -1.540077149
    218   2.180000000  -0.511118043  -1.459027375
    219   2.190000000  -0.525708317  -1.375459575
    220   2.200000000  -0.539462913  -1.289506265
    221   2.210000000  -0.552357975  -1.201304079
    222   2.220000000  -0.564371016  -1.110993550
    223   2.230000000  -0.575480952  -1.018718889
    224   2.240000000  -0.585668141  -0.924627753
    225   2.250000000  -0.594914418  -0.828871012
    226   2.260000000  -0.603203128  -0.731602505
    227   2.270000000  -0.610519153  -0.632978793
    228   2.280000000  -0.616848941  -0.533158912
    229   2.290000000  -0.622180530  -0.432304110
    230   2.300000000  -0.626503571  -0.330577593
    231   2.310000000  -0.629809347  -0.228144259
    232   2.320000000  -0.632090790  -0.125170431
    233   2.330000000  -0.633342494  -0.021823587
    234   2.340000000  -0.633560730   0.081727911
    235   2.350000000  -0.632743451   0.185315091
    236   2.360000000  -0.630890300   0.288768645
    237   2.370000000  -0.628002614   0.391919209
    238   2.380000000  -0.624083422   0.494597636
    239   2.390000000  -0.619137445   0.596635276
    240   2.400000000  -0.613171092   0.697864248
    241   2.410000000  -0.606192450   0.798117722
    242   2.420000000  -0.598211273   0.897230187
    243   2.430000000  -0.589238971   0.995037730
    244   2.440000000  -0.579288594   1.091378302
    245   2.450000000  -0.568374811   1.186091987
    246   2.460000000  -0.556513891   1.279021269
    247   2.470000000  -0.543723678   1.370011290
    248   2.480000000  -0.530023565   1.458910111
    249   2.490000000  -0.515434464   1.545568964
    250   2.500000000  -0.499978774   1.629842499
    251   2.510000000  -0.483680349   1.711589028
    252   2.520000000  -0.466564459   1.790670765
    253   2.530000000  -0.448657751   1.866954055
    254   2.540000000  -0.429988211   1.940309597
    255   2.550000000  -0.410585115   2.010612669
    256   2.560000000  -0.390478988   2.077743336
    257   2.570000000  -0.369701555   2.141586650
    258   2.580000000  -0.348285688   2.202032854
    259   2.590000000  -0.326265360   2.258977565
    260   2.600000000  -0.303675584   2.312321951
    261   2.610000000  -0.280552365   2.361972909
    262   2.620000000  -0.256932636   2.407843221
    263   2.630000000  -0.232854203   2.449851706
    264   2.640000000  -0.208355686   2.487923369
    265   2.650000000  -0.183476453   2.521989523
    266   2.660000000  -0.158256557   2.551987923
    267   2.670000000  -0.132736678   2.577862871
    268   2.680000000  -0.106958049   2.599565317
    269   2.690000000  -0.080962396   2.617052958
    270   2.700000000  -0.054791867   2.630290310
    271   2.710000000  -0.028488964   2.639248780
    272   2.720000000  -0.002096476   2.643906726
    273   2.730000000   0.024342591   2.644249500
    274   2.740000000   0.050785086   2.640269486
    275   2.750000000   0.077187781   2.631966124
    276   2.760000000   0.103507443   2.619345922
    277   2.770000000   0.129700902   2.602422455
    278   2.780000000   0.155725126   2.581216358
    279   2.790000000   0.181537290   2.555755300
    280   2.800000000   0.207094843   2.526073953
    281   2.810000000   0.232355582   2.492213946
    282   2.820000000   0.257277722   2.454223808
    283   2.830000000   0.281819960   2.412158901
    284   2.840000000   0.305941549   2.366081337
    285   2.850000000   0.329602362   2.316059894
    286   2.860000000   0.352762961   2.262169908
    287   2.870000000   0.375384660   2.204493164
    288   2.880000000   0.397429592   2.143117772
    289   2.890000000   0.418860770   2.078138033
    290   2.900000000   0.439642150   2.009654298
    291   2.910000000   0.459738693   1.937772806
    292   2.920000000   0.479116421   1.862605530
    293   2.930000000   0.497742476   1.784269995
    294   2.940000000   0.515585176   1.702889100
    295   2.950000000   0.532614067   1.618590924
    296   2.960000000   0.548799977   1.531508524
    297   2.970000000   0.564115062   1.441779727
    298   2.980000000   0.578532859   1.349546915
    299   2.990000000   0.592028328   1.254956792
    300   3.000000000   0.604577896   1.158160161
    301   3.010000000   0.616159498   1.059311675
    302   3.020000000   0.626752615   0.958569597
    303   3.030000000   0.636338311   0.856095544
    304   3.040000000   0.644899266   0.752054230
    305   3.050000000   0.652419808   0.646613201
    306   3.060000000   0.658885940   0.539942562
    307   3.070000000   0.664285366   0.432214711
    308   3.080000000   0.668607513   0.323604053
    309   3.090000000   0.671843554   0.214286725
    310   3.100000000   0.673986421   0.104440304
    311   3.110000000   0.675030824  -0.005756476
    312   3.120000000   0.674973259  -0.116124016
    313   3.130000000   0.673812019  -0.226482143
    314   3.140000000   0.671547197  -0.336650408
    315   3.150000000   0.668180693  -0.446448375
    316   3.160000000   0.663716210  -0.555695919
    317   3.170000000   0.658159250  -0.664213519
    318   3.180000000   0.651517115  -0.771822556
    319   3.190000000   0.643798890  -0.878345605
    320   3.200000000   0.635015434  -0.983606723
    321   3.210000000   0.625179366  -1.087431747
    322   3.220000000   0.614305049  -1.189648573
    323   3.230000000   0.602408563  -1.290087448
    324   3.240000000   0.589507689  -1.388581249
    325   3.250000000   0.575621876  -1.484965756
    326   3.260000000   0.560772219  -1.579079932
    327   3.270000000   0.544981419  -1.670766190
    328   3.280000000   0.528273757  -1.759870652
    329   3.290000000   0.510675051  -1.846243412
    330   3.300000000   0.492212617  -1.929738782
    331   3.310000000   0.472915229  -2.010215545
    332   3.320000000   0.452813074  -2.087537185
    333   3.330000000   0.431937702  -2.161572123
    334   3.340000000   0.410321980  -2.232193937
    335   3.350000000   0.388000041  -2.299281581
    336   3.360000000   0.365007225  -2.362719587
    337   3.370000000   0.341380029  -2.422398269
    338   3.380000000   0.317156047  -2.478213904
    339   3.390000000   0.292373908  -2.530068917
    340   3.400000000   0.267073219  -2.577872051
    341   3.410000000   0.241294498  -2.621538522
    342   3.420000000   0.215079113  -2.660990173
    343   3.430000000   0.188469211  -2.696155608
    344   3.440000000   0.161507655  -2.726970324
    345   3.450000000   0.134237952  -2.753376825
    346   3.460000000   0.106704183  -2.775324730
    347   3.470000000   0.078950936  -2.792770864
    348   3.480000000   0.051023228  -2.805679342
    349   3.490000000   0.022966434  -2.814021640
    350   3.500000000  -0.005173782  -2.817776652
    351   3.510000000  -0.033351549  -2.816930739
    352   3.520000000  -0.061520856  -2.811477761
    353   3.530000000  -0.089635634  -2.801419101
    354   3.540000000  -0.117649825  -2.786763674
    355   3.550000000  -0.145517462  -2.767527928
    356   3.560000000  -0.173192741  -2.743735823
    357   3.570000000  -0.200630099  -2.715418810
    358   3.580000000  -0.227784287  -2.682615789
    359   3.590000000  -0.254610445  -2.645373058
    360   3.600000000  -0.281064176  -2.603744250
    361   3.610000000  -0.307101618  -2.557790257
