# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
    143   1.430000000   0.229629804   0.508407639
    144   1.440000000   0.234524798   0.470457830
    145   1.450000000   0.239036397   0.431738928
    146   1.460000000   0.243157224   0.392314228
    147   1.470000000   0.246880543   0.352248183
    148   1.480000000   0.250200268   0.311606290
    149   1.490000000   0.253110971   0.270454990
    150   1.500000000   0.255607893   0.228861556
    151   1.510000000   0.257686954   0.186893985
    152   1.520000000   0.259344755   0.144620884
    153   1.530000000   0.260578584   0.102111360
    154   1.540000000   0.261386425   0.059434907
    155   1.550000000   0.261766958   0.016661290
    156   1.560000000   0.261719560  -0.026139563
    157   1.570000000   0.261244309  -0.068897685
    158   1.580000000   0.260341982  -0.111543173
    159   1.590000000   0.259014054  -0.154006314
    160   1.600000000   0.257262695  -0.196217689
    161   1.610000000   0.255090769  -0.238108291
    162   1.620000000   0.252501827  -0.279609640
    163   1.630000000   0.249500100  -0.320653889
    164   1.640000000   0.246090497  -0.361173940
    165   1.650000000   0.242278590  -0.401103553
    166   1.660000000   0.238070612  -0.440377450
    167   1.670000000   0.233473441  -0.478931429
    168   1.680000000   0.228494593  -0.516702461
    169   1.690000000   0.223142208  -0.553628800
    170   1.700000000   0.217425034  -0.589650079
    171   1.710000000   0.211352420  -0.624707412
    172   1.720000000   0.204934291  -0.658743488
    173   1.730000000   0.198181140  -0.691702664
    174   1.740000000   0.191104007  -0.723531061
    175   1.750000000   0.183714462  -0.754176646
    176   1.760000000   0.176024585  -0.783589320
    177   1.770000000   0.168046946  -0.811721000
    178   1.780000000   0.159794588  -0.838525697
    179   1.790000000   0.151281002  -0.863959591
    180   1.800000000   0.142520105  -0.887981104
    181   1.810000000   0.133526220  -0.910550966
    182   1.820000000   0.124314048  -0.931632280
    183   1.830000000   0.114898651  -0.951190582
    184   1.840000000   0.105295421  -0.969193900
    185   1.850000000   0.095520056  -0.985612802
    186   1.860000000   0.085588536  -1.000420447
    187   1.870000000   0.075517099  -1.013592627
    188   1.880000000   0.065322208  -1.025107809
    189   1.890000000   0.055020530  -1.034947168
    190   1.900000000   0.044628905  -1.043094619
    191   1.910000000   0.034164322  -1.049536843
    192   1.920000000   0.023643888  -1.054263308
    193   1.930000000   0.013084802  -1.057266288
    194   1.940000000   0.002504324  -1.058540872
    195   1.950000000  -0.008080247  -1.058084979
    196   1.960000000  -0.018651609  -1.055899352
    197   1.970000000  -0.029192479  -1.051987564
