# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    143   1.430000000   0.433407655   1.165293381
    144   1.440000000   0.444717267   1.095766773
    145   1.450000000   0.455323244   1.024622106
    146   1.460000000   0.465209967   0.951972159
    147   1.470000000   0.474362950   0.877930488
    148   1.480000000   0.482768844   0.802611279
    149   1.490000000   0.490415446   0.726129208
    150   1.500000000   0.497291701   0.648599323
    151   1.510000000   0.503387709   0.570136950
    152   1.520000000   0.508694720   0.490857613
    153   1.530000000   0.513205142   0.410876971
    154   1.540000000   0.516912543   0.330310767
    155   1.550000000   0.519811643   0.249274796
    156   1.560000000   0.521898325   0.167884882
    157   1.570000000   0.523169628   0.086256858
    158   1.580000000   0.523623751   0.004506563
    159   1.590000000   0.523260049  -0.077250163
    160   1.600000000   0.522079037  -0.158897482
    161   1.610000000   0.520082389  -0.240319555
    162   1.620000000   0.517272935  -0.321400545
    163   1.630000000   0.513654666  -0.402024629
    164   1.640000000   0.509232730  -0.482076005
    165   1.650000000   0.504013433  -0.561438921
    166   1.660000000   0.498004237  -0.639997707
    167   1.670000000   0.491213762  -0.717636819
    168   1.680000000   0.483651782  -0.794240905
    169   1.690000000   0.475329223  -0.869694877
    170   1.700000000   0.466258161  -0.943884013
    171   1.710000000   0.456451816  -1.016694064
    172   1.720000000   0.445924549  -1.088011393
    173   1.730000000   0.434691854  -1.157723125
    174   1.740000000   0.422770348  -1.225717325
    175   1.750000000   0.410177764  -1.291883190
    176   1.760000000   0.396932936  -1.356111266
    177   1.770000000   0.383055785  -1.418293685
    178   1.780000000   0.368567302  -1.478324416
    179   1.790000000   0.353489529  -1.536099536
    180   1.800000000   0.337845537  -1.591517522
    181   1.810000000   0.321659397  -1.644479549
    182   1.820000000   0.304956156  -1.694889799
    183   1.830000000   0.287761803  -1.742655791
    184   1.840000000   0.270103233  -1.787688702
    185   1.850000000   0.252008211  -1.829903699
    186   1.860000000   0.233505331  -1.869220273
    187   1.870000000   0.214623968  -1.905562562
    188   1.880000000   0.195394231  -1.938859674
    189   1.890000000   0.175846914  -1.969045992
    190   1.900000000   0.156013439  -1.996061477
    191   1.910000000   0.135925800  -2.019851936
    192   1.920000000   0.115616503  -2.040369286
    193   1.930000000   0.095118504  -2.057571785
    194   1.940000000   0.074465144  -2.071424233
    195   1.950000000   0.053690083  -2.081898155
    196   1.960000000   0.032827231  -2.088971939
    197   1.970000000   0.011910680  -2.092630952
    198   1.980000000  -0.009025366  -2.092867609
    199   1.990000000  -0.029946664  -2.089681419
    200   2.000000000  -0.050819001  -2.083078981
    201   2.010000000  -0.071608264  -2.073073956
    202   2.020000000  -0.092280514  -2.059686991
    203   2.030000000  -0.112802051  -2.042945618
    204   2.040000000  -0.133139487  -2.022884113
    205   2.050000000  -0.153259808  -1.999543320
    206   2.060000000  -0.173130441  -1.972970458
    207   2.070000000  -0.192719318  -1.943218885
    208   2.080000000  -0.211994932  -1.910347845
    209   2.090000000  -0.230926400  -1.874422197
    210   2.100000000  -0.249483513  -1.835512121
    211   2.110000000  -0.267636790  -1.793692807
    212   2.120000000  -0.285357528  -1.749044138
    213   2.130000000  -0.302617843  -1.701650368
    214   2.140000000  -0.319390715  -1.651599783
    215   2.150000000  -0.335650027  -1.598984381
    216   2.160000000  -0.351370601  -1.543899531
    217   2.170000000  -0.366528225  -1.486443662
    218   2.180000000  -0.381099689  -1.426717942
    219   2.190000000  -0.395062806  -1.364825976
    220   2.200000000  -0.408396438  -1.300873519
    221   2.210000000  -0.421080512  -1.234968202
    222   2.220000000  -0.433096044  -1.167219271
    223   2.230000000  -0.444425146  -1.097737357
    224   2.240000000  -0.455051044  -1.026634249
    225   2.250000000  -0.464958089  -0.954022703
    226   2.260000000  -0.474131761  -0.880016261
    227   2.270000000  -0.482558681  -0.804729093
    228   2.280000000  -0.490226613  -0.728275866
    229   2.290000000  -0.497124471  -0.650771623
    230   2.300000000  -0.503242322  -0.572331683
    231   2.310000000  -0.508571384  -0.493071570
    232   2.320000000  -0.513104035  -0.413106939
    233   2.330000000  -0.516833807  -0.332553536
    234   2.340000000  -0.519755391  -0.251527156
    235   2.350000000  -0.521864636  -0.170143623
    236   2.360000000  -0.523158551  -0.088518772
    237   2.370000000  -0.523635300  -0.006768445
    238   2.380000000  -0.523294209   0.074991518
    239   2.390000000  -0.522135759   0.156645276
    240   2.400000000  -0.520161593   0.238076988
    241   2.410000000  -0.517374509   0.319170817
    242   2.420000000  -0.513778465   0.399810935
    243   2.430000000  -0.509378578   0.479881539
    244   2.440000000  -0.504181121   0.559266873
    245   2.450000000  -0.498193526   0.637851262
    246   2.460000000  -0.491424379   0.715519156
    247   2.470000000  -0.483883424   0.792155194
    248   2.480000000  -0.475581555   0.867644279
    249   2.490000000  -0.466530815   0.941871673
    250   2.500000000  -0.456744394   1.014723112
    251   2.510000000  -0.446236622   1.086084936
    252   2.520000000  -0.435022962   1.155844246
    253   2.530000000  -0.423119999   1.223889074
    254   2.540000000  -0.410545437   1.290108582
    255   2.550000000  -0.397318079   1.354393272
    256   2.560000000  -0.383457817   1.416635226
    257   2.570000000  -0.368985614   1.476728355
    258   2.580000000  -0.353923483   1.534568674
    259   2.590000000  -0.338294467   1.590054585
    260   2.600000000  -0.322122610   1.643087180
    261   2.610000000  -0.305432934   1.693570554
    262   2.620000000  -0.288251401   1.741412124
    263   2.630000000  -0.270604884   1.786522959
    264   2.640000000  -0.252521125   1.828818109
    265   2.650000000  -0.234028695   1.868216938
    266   2.660000000  -0.215156948   1.904643449
    267   2.670000000  -0.195935977   1.938026605
    268   2.680000000  -0.176396556   1.968300638
    269   2.690000000  -0.156570092   1.995405347
    270   2.700000000  -0.136488565   2.019286373
    271   2.710000000  -0.116184468   2.039895460
    272   2.720000000  -0.095690746   2.057190683
    273   2.730000000  -0.075040732   2.071136660
