# Nghiem giai tich cho phuong trinh truyen nhiet 1D
#
#    j (t)    i (x)               t               x               u           |err|
         0       85    0.000000e+00    8.585859e-01    9.865053e+01    1.349465e+00
         0       86    0.000000e+00    8.686869e-01    1.014675e+02    1.467495e+00
         0       87    0.000000e+00    8.787879e-01    9.839609e+01    1.603913e+00
         0       88    0.000000e+00    8.888889e-01    1.017637e+02    1.763717e+00
         0       89    0.000000e+00    8.989899e-01    9.804611e+01    1.953888e+00
         0       90    0.000000e+00    9.090909e-01    1.021845e+02    2.184478e+00
         0       91    0.000000e+00    9.191919e-01    9.752950e+01    2.470502e+00
         0       92    0.000000e+00    9.292929e-01    1.028354e+02    2.835424e+00
         0       93    0.000000e+00    9.393939e-01    9.668196e+01    3.318039e+00
         0       94    0.000000e+00    9.494949e-01    1.039874e+02    3.987357e+00
         0       95    0.000000e+00    9.595960e-01    9.502116e+01    4.978838e+00
         0       96    0.000000e+00    9.696970e-01    1.065982e+02    6.598236e+00
         0       97    0.000000e+00    9.797980e-01    9.029594e+01    9.704064e+00
         0       98    0.000000e+00    9.898990e-01    1.178912e+02    1.789117e+01
         0       99    0.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00

         1        0    6.001000e+00    0.000000e+00    0.000000e+00    0.000000e+00
         1        1    6.001000e+00    1.010101e-02    2.462055e+01    5.392157e-01
         1        2    6.001000e+00    2.020202e-02    4.695243e+01    7.738179e-01
         1        3    6.001000e+00    3.030303e-02    6.532542e+01    6.227620e-01
         1        4    6.001000e+00    4.040404e-02    7.903615e+01    2.435796e-01
         1        5    6.001000e+00    5.050505e-02    8.831656e+01    1.304064e-01
         1        6    6.001000e+00    6.060606e-02    9.401423e+01    3.504077e-01
         1        7    6.001000e+00    7.070707e-02    9.718708e+01    3.973828e-01
         1        8    6.001000e+00    8.080808e-02    9.878968e+01    3.327771e-01
         1        9    6.001000e+00    9.090909e-02    9.952388e+01    2.304383e-01
         1       10    6.001000e+00    1.010101e-01    9.982896e+01    1.383244e-01
         1       11    6.001000e+00    1.111111e-01    9.994395e+01    7.392964e-02
         1       12    6.001000e+00    1.212121e-01    9.998326e+01    3.582687e-02
         1       13    6.001000e+00    1.313131e-01    9.999544e+01    1.597421e-02
         1       14    6.001000e+00    1.414141e-01    9.999887e+01    6.631482e-03
         1       15    6.001000e+00    1.515152e-01    9.999975e+01    2.595638e-03
         1       16    6.001000e+00    1.616162e-01    9.999995e+01    9.678534e-04
         1       17    6.001000e+00    1.717172e-01    9.999999e+01    3.402800e-04
         1       18    6.001000e+00    1.818182e-01    1.000000e+02    1.183532e-04
         1       19    6.001000e+00    1.919192e-01    1.000000e+02    3.974646e-05
         1       20    6.001000e+00    2.020202e-01    1.000000e+02    9.964539e-06
         1       21    6.001000e+00    2.121212e-01    1.000000e+02    4.504997e-09
         1       22    6.001000e+00    2.222222e-01    1.000000e+02    5.197336e-10
         1       23    6.001000e+00    2.323232e-01    1.000000e+02    5.447021e-11
         1       24    6.001000e+00    2.424242e-01    1.000000e+02    5.215384e-12
         1       25    6.001000e+00    2.525253e-01    1.000000e+02    4.405365e-13
         1       26    6.001000e+00    2.626263e-01    1.000000e+02    0.000000e+00
         1       27    6.001000e+00    2.727273e-01    1.000000e+02    1.421085e-14
         1       28    6.001000e+00    2.828283e-01    1.000000e+02    4.263256e-14
         1       29    6.001000e+00    2.929293e-01    1.000000e+02    2.842171e-14
         1       30    6.001000e+00    3.030303e-01    1.000000e+02    1.421085e-14
         1       31    6.001000e+00    3.131313e-01    1.000000e+02    1.421085e-14
         1       32    6.001000e+00    3.232323e-01    1.000000e+02    2.842171e-14
         1       33    6.001000e+00    3.333333e-01    1.000000e+02    4.263256e-14
         1       34    6.001000e+00    3.434343e-01    1.000000e+02    1.421085e-14
         1       35    6.001000e+00    3.535354e-01    1.000000e+02    4.263256e-14
