# Giai bai toan bay tu bang RK4
#
#                    t                    x                    y                    z                  v_x                  v_y                  v_z
        4.19972002e-01       1.67417978e-01       1.56092927e-01       6.30567401e-02       2.36501737e-01       3.32193685e-01       1.50380465e-01
        4.29971335e-01       1.69799547e-01       1.59402635e-01       6.45605030e-02       2.39840058e-01       3.29786239e-01       1.50392098e-01
        4.39970669e-01       1.72214383e-01       1.62688097e-01       6.60643805e-02       2.43155354e-01       3.27344305e-01       1.50403390e-01
        4.49970002e-01       1.74662252e-01       1.65948970e-01       6.75683690e-02       2.46447299e-01       3.24868077e-01       1.50414300e-01
        4.59969335e-01       1.77142921e-01       1.69184912e-01       6.90724645e-02       2.49715565e-01       3.22357752e-01       1.50424787e-01
        4.69968669e-01       1.79656151e-01       1.72395583e-01       7.05766626e-02       2.52959828e-01       3.19813531e-01       1.50434806e-01
        4.79968002e-01       1.82201699e-01       1.75580644e-01       7.20809584e-02       2.56179764e-01       3.17235616e-01       1.50444317e-01
        4.89967336e-01       1.84779322e-01       1.78739760e-01       7.35853465e-02       2.59375051e-01       3.14624213e-01       1.50453273e-01
        4.99966669e-01       1.87388771e-01       1.81872598e-01       7.50898213e-02       2.62545367e-01       3.11979531e-01       1.50461630e-01
        5.09966002e-01       1.90029795e-01       1.84978825e-01       7.65943764e-02       2.65690393e-01       3.09301782e-01       1.50469343e-01
        5.19965336e-01       1.92702140e-01       1.88058112e-01       7.80990052e-02       2.68809809e-01       3.06591178e-01       1.50476365e-01
        5.29964669e-01       1.95405547e-01       1.91110131e-01       7.96037006e-02       2.71903298e-01       3.03847937e-01       1.50482648e-01
        5.39964002e-01       1.98139756e-01       1.94134557e-01       8.11084549e-02       2.74970546e-01       3.01072279e-01       1.50488145e-01
        5.49963336e-01       2.00904502e-01       1.97131068e-01       8.26132601e-02       2.78011236e-01       2.98264425e-01       1.50492807e-01
        5.59962669e-01       2.03699520e-01       2.00099342e-01       8.41181075e-02       2.81025057e-01       2.95424602e-01       1.50496585e-01
        5.69962003e-01       2.06524538e-01       2.03039060e-01       8.56229880e-02       2.84011695e-01       2.92553037e-01       1.50499427e-01
        5.79961336e-01       2.09379284e-01       2.05949907e-01       8.71278921e-02       2.86970842e-01       2.89649961e-01       1.50501283e-01
        5.89960669e-01       2.12263480e-01       2.08831569e-01       8.86328096e-02       2.89902187e-01       2.86715607e-01       1.50502102e-01
        5.99960003e-01       2.15176847e-01       2.11683734e-01       9.01377298e-02       2.92805424e-01       2.83750212e-01       1.50501830e-01
        6.09959336e-01       2.18119103e-01       2.14506092e-01       9.16426417e-02       2.95680246e-01       2.80754015e-01       1.50500415e-01
        6.19958669e-01       2.21089962e-01       2.17298338e-01       9.31475335e-02       2.98526350e-01       2.77727258e-01       1.50497803e-01
        6.29958003e-01       2.24089135e-01       2.20060166e-01       9.46523929e-02       3.01343431e-01       2.74670185e-01       1.50493939e-01
        6.39957336e-01       2.27116331e-01       2.22791275e-01       9.61572073e-02       3.04131189e-01       2.71583045e-01       1.50488768e-01
        6.49956670e-01       2.30171255e-01       2.25491366e-01       9.76619631e-02       3.06889323e-01       2.68466088e-01       1.50482235e-01
        6.59956003e-01       2.33253609e-01       2.28160140e-01       9.91666466e-02       3.09617536e-01       2.65319566e-01       1.50474281e-01
        6.69955336e-01       2.36363092e-01       2.30797305e-01       1.00671243e-01       3.12315530e-01       2.62143736e-01       1.50464851e-01
        6.79954670e-01       2.39499401e-01       2.33402569e-01       1.02175738e-01       3.14983009e-01       2.58938857e-01       1.50453887e-01
        6.89954003e-01       2.42662230e-01       2.35975641e-01       1.03680115e-01       3.17619682e-01       2.55705190e-01       1.50441328e-01
        6.99953336e-01       2.45851268e-01       2.38516237e-01       1.05184358e-01       3.20225255e-01       2.52443000e-01       1.50427118e-01
        7.09952670e-01       2.49066203e-01       2.41024071e-01       1.06688451e-01       3.22799438e-01       2.49152554e-01       1.50411195e-01
        7.19952003e-01       2.52306721e-01       2.43498862e-01       1.08192376e-01       3.25341943e-01       2.45834121e-01       1.50393500e-01
        7.29951337e-01       2.55572502e-01       2.45940333e-01       1.09696115e-01       3.27852483e-01       2.42487976e-01       1.50373970e-01
