Ket qua tinh toan he phuong trinh sau 198 lan lap:

####################################################################################################

    i             F1              F2              F3              f1              f2              f3              f4              f5               sai_so
   44  -10.469222884 -6330.749619776 -3653.548686801 -8954.703070416  6322.834108449  9992.739975702 -7308.857617794  6326.245239051         2.218691e+00
   45   -9.097156154 -6331.931264603 -3654.428808897 -8956.154409648  6325.052799657  9993.693162657 -7310.386702731  6328.016697855         1.927621e+00
   46   -7.904716760 -6332.957516416 -3655.193351365 -8957.414959896  6326.980420570  9994.521105705 -7311.715015478  6329.555684603         1.674735e+00
   47   -6.868439474 -6333.848860044 -3655.857507739 -8958.509853410  6328.655155901  9995.240287206 -7312.868940404  6330.892716418         1.455025e+00
   48   -5.967910772 -6334.623066672 -3656.434470202 -8959.460898099  6330.110181234  9995.865013512 -7313.871388594  6332.054301884         1.264139e+00
   49   -5.185375587 -6335.295556821 -3656.935694297 -8960.287020888  6331.374320072  9996.407704072 -7314.742256675  6333.063468244         1.098295e+00
   50   -4.505393776 -6335.879713848 -3657.371128337 -8961.004650993  6332.472614715  9996.879141650 -7315.498824601  6333.940219087         9.542075e-01
   51   -3.914540247 -6336.387154962 -3657.749412300 -8961.628051494  6333.426822262  9997.288688992 -7316.156100640  6334.701931734         8.290233e-01
   52   -3.401143421 -6336.827965683 -3658.078050320 -8962.169606374  6334.255845562  9997.644476565 -7316.727120648  6335.363702301         7.202621e-01
   53   -2.955057249 -6337.210902811 -3658.363560324 -8962.640069144  6334.976107639  9997.953565275 -7317.223207749  6335.938645355         6.257694e-01
   54   -2.567462587 -6337.543570226 -3658.611603875 -8963.048778285  6335.601877000  9998.222087553 -7317.654197707  6336.438154162         5.436733e-01
   55   -2.230694231 -6337.832571231 -3658.827098854 -8963.403844022  6336.145550276  9998.455369737 -7318.028634543  6336.872126706         4.723475e-01
   56   -1.938090345 -6338.083640621 -3659.014317272 -8963.712310290  6336.617897786  9998.658038241 -7318.353940370  6337.249162016         4.103791e-01
   57   -1.683861425 -6338.301759211 -3659.176970185 -8963.980295232  6337.028276886  9998.834111683 -7318.636562841  6337.576730686         3.565404e-01
   58   -1.462976295 -6338.491253181 -3659.318281420 -8964.213113105  6337.384817334  9998.987080849 -7318.882103186  6337.861322998         3.097650e-01
   59   -1.271062943 -6338.655880278 -3659.441051593 -8964.415380067  6337.694582337  9999.119978106 -7319.095427400  6338.108577594         2.691261e-01
   60   -1.104322282 -6338.798904619 -3659.547713700 -8964.591106009  6337.963708468  9999.235437662 -7319.280762806  6338.323393244         2.338188e-01
   61   -0.959453156 -6338.923161623 -3659.640381403 -8964.743774263  6338.197527235  9999.335747892 -7319.441781921  6338.510025950         2.031435e-01
   62   -0.833587146 -6339.031114382 -3659.720890961 -8964.876410820  6338.400670697  9999.422896775 -7319.581675297  6338.672173289         1.764925e-01
   63   -0.724231893 -6339.124902590 -3659.790837648 -8964.991644416  6338.577163222  9999.498611348 -7319.703214794  6338.813047698         1.533380e-01
   64   -0.629221826 -6339.206385047 -3659.851607397 -8965.091758726  6338.730501214  9999.564391976 -7319.808808542  6338.935440128         1.332212e-01
   65   -0.546675341 -6339.277176555 -3659.904404271 -8965.178737682  6338.863722375  9999.621542118 -7319.900548677  6339.041775353         1.157435e-01
   66   -0.474957589 -6339.338679964 -3659.950274339 -8965.254304833  6338.979465887  9999.671194174 -7319.980252820  6339.134160015         1.005588e-01
   67   -0.412648123 -6339.392114009 -3659.990126410 -8965.319957537  6339.080024687  9999.714331946 -7320.049500098  6339.214424366         8.736621e-02
   68   -0.358512795 -6339.438537481 -3660.024750049 -8965.376996651  6339.167390899  9999.751810138 -7320.109662444  6339.284158532         7.590439e-02
   69   -0.311479327 -6339.478870226 -3660.054831222 -8965.426552331  6339.243295294  9999.784371303 -7320.161931785  6339.344744018         6.594629e-02
   70   -0.270616089 -6339.513911383 -3660.080965893 -8965.469606431  6339.309241579  9999.812660561 -7320.207343663  6339.397381080         5.729461e-02
   71   -0.235113651 -6339.544355229 -3660.103671831 -8965.507011974  6339.366536186  9999.837238387 -7320.246797754  6339.443112506         4.977797e-02
   72   -0.204268757 -6339.570804942 -3660.123398877 -8965.539510054  6339.416314153  9999.858591716 -7320.281075697  6339.482844274         4.324746e-02
   73   -0.177470403 -6339.593784555 -3660.140537849 -8965.567744529  6339.459561608  9999.877143596 -7320.310856580  6339.517363503         3.757370e-02
   74   -0.154187736 -6339.613749344 -3660.155428290 -8965.592274776  6339.497135307  9999.893261569 -7320.336730396  6339.547354043         3.264430e-02
   75   -0.133959541 -6339.631094848 -3660.168365198 -8965.613586781  6339.529779607  9999.907264955 -7320.359209730  6339.573410030         2.836160e-02
   76   -0.116385104 -6339.646164711 -3660.179604865 -8965.632102769  6339.558141209  9999.919431178 -7320.378739922  6339.596047652         2.464076e-02
   77   -0.101116283 -6339.659257492 -3660.189369961 -8965.648189565  6339.582781972  9999.930001267 -7320.395707880  6339.615715375         2.140807e-02
   78   -0.087850602 -6339.670632574 -3660.197853940 -8965.662165869  6339.604190043  9999.939184627 -7320.410449756  6339.632802831         1.859949e-02
   79   -0.076325270 -6339.680515314 -3660.205224878 -8965.674308568  6339.622789529  9999.947163188 -7320.423257597  6339.647648531         1.615937e-02
   80   -0.066311969 -6339.689101498 -3660.211628798 -8965.684858222  6339.638948896  9999.954095014 -7320.434385136  6339.660546580         1.403937e-02
   81   -0.057612334 -6339.696561230 -3660.217192568 -8965.694023828  6339.652988270  9999.960117430 -7320.444052818  6339.671752496         1.219751e-02
   82   -0.050054023 -6339.703042293 -3660.222026409 -8965.701986968  6339.665185778  9999.965349746 -7320.452452167  6339.681488275         1.059728e-02
   83   -0.043487305 -6339.708673082 -3660.226226084 -8965.708905396  6339.675783060  9999.969895617 -7320.459749580  6339.689946789         9.206995e-03
   84   -0.037782090 -6339.713565150 -3660.229874790 -8965.714916173  6339.684990055  9999.973845101 -7320.466089623  6339.697295606         7.999103e-03
   85   -0.032825356 -6339.717815411 -3660.233044812 -8965.720138377  6339.692989159  9999.977276439 -7320.471597897  6339.703680310         6.949678e-03
   86   -0.028518908 -6339.721508067 -3660.235798949 -8965.724675463  6339.699938837  9999.980257610 -7320.476383525  6339.709227386         6.037930e-03
   87   -0.024777435 -6339.724716272 -3660.238191762 -8965.728617315  6339.705976767  9999.982847672 -7320.480541311  6339.714046726         5.245797e-03
   88   -0.021526815 -6339.727503582 -3660.240270656 -8965.732042023  6339.711222564  9999.985097936 -7320.484153625  6339.718233802         4.557586e-03
   89   -0.018702653 -6339.729925216 -3660.242076813 -8965.735017434  6339.715780149  9999.987052981 -7320.487292030  6339.721871564         3.959663e-03
   90   -0.016249000 -6339.732029149 -3660.243646015 -8965.737602491  6339.719739813  9999.988751538 -7320.490018698  6339.725032078         3.440184e-03
   91   -0.014117248 -6339.733857061 -3660.245009349 -8965.739848407  6339.723179996  9999.990227256 -7320.492387646  6339.727777954         2.988856e-03
   92   -0.012265167 -6339.735445163 -3660.246193823 -8965.741799675  6339.726168853  9999.991509371 -7320.494445805  6339.730163591         2.596740e-03
   93   -0.010656065 -6339.736824918 -3660.247222903 -8965.743494950  6339.728765592  9999.992623281 -7320.496233949  6339.732236250         2.256066e-03
   94   -0.009258066 -6339.738023659 -3660.248116974 -8965.744967817  6339.731021658  9999.993591054 -7320.497787500  6339.734036991         1.960086e-03
   95   -0.008043474 -6339.739065133 -3660.248893750 -8965.746247455  6339.732981745  9999.994431862 -7320.499137237  6339.735601487         1.702937e-03
   96   -0.006988228 -6339.739969973 -3660.249568619 -8965.747359213  6339.734684682  9999.995162362 -7320.500309898  6339.736960733         1.479524e-03
   97   -0.006071423 -6339.740756105 -3660.250154949 -8965.748325116  6339.736164206  9999.995797025 -7320.501328714  6339.738141655         1.285421e-03
   98   -0.005274896 -6339.741439101 -3660.250664357 -8965.749164300  6339.737449627  9999.996348426 -7320.502213869  6339.739167649         1.116783e-03
   99   -0.004582867 -6339.742032494 -3660.251106935 -8965.749893388  6339.738566409  9999.996827486 -7320.502982898  6339.740059039         9.702690e-04
  100   -0.003981628 -6339.742548037 -3660.251491449 -8965.750526826  6339.739536678  9999.997243697 -7320.503651036  6339.740833486         8.429766e-04
  101   -0.003459267 -6339.742995945 -3660.251825518 -8965.751077161  6339.740379655  9999.997605304 -7320.504231519  6339.741506331         7.323841e-04
  102   -0.003005436 -6339.743385091 -3660.252115759 -8965.751555296  6339.741112039  9999.997919471 -7320.504735846  6339.742090903         6.363006e-04
  103   -0.002611144 -6339.743723183 -3660.252367923 -8965.751970703  6339.741748340  9999.998192422 -7320.505174010  6339.742598784         5.528225e-04
  104   -0.002268581 -6339.744016921 -3660.252587005 -8965.752331611  6339.742301162  9999.998429563 -7320.505554689  6339.743040034         4.802961e-04
  105   -0.001970959 -6339.744272121 -3660.252777345 -8965.752645171  6339.742781458  9999.998635593 -7320.505885426  6339.743423396         4.172847e-04
  106   -0.001712384 -6339.744493842 -3660.252942713 -8965.752917594  6339.743198743  9999.998814594 -7320.506172773  6339.743756463         3.625400e-04
  107   -0.001487731 -6339.744686474 -3660.253086387 -8965.753154278  6339.743561283  9999.998970110 -7320.506422422  6339.744045834         3.149773e-04
  108   -0.001292551 -6339.744853834 -3660.253211211 -8965.753359910  6339.743876260  9999.999105225 -7320.506639319  6339.744297242         2.736545e-04
  109   -0.001122978 -6339.744999238 -3660.253319659 -8965.753538564  6339.744149915  9999.999222613 -7320.506827760  6339.744515666         2.377530e-04
  110   -0.000975651 -6339.745125566 -3660.253413880 -8965.753693781  6339.744387668  9999.999324600 -7320.506991480  6339.744705435         2.065615e-04
  111   -0.000847653 -6339.745235321 -3660.253495740 -8965.753828634  6339.744594229  9999.999413208 -7320.507133720  6339.744870308         1.794621e-04
