Ket qua tinh toan he phuong trinh sau 999 lan lap:

####################################################################################################

    i             F1              F2              f5              F3              f2              f3              f1              f4               sai_so
   21   -0.000000000 124778880.027146623 -124788880.027146623 -305669081.639896214 216140680.426635027 10000.000000000 432261360.853270054 -374349319.573364139         1.180980e+09
   22   -0.000000000 -216140680.426635027 216130680.426635027 529409884.805791438 -374349319.573364139 10000.000000000 -748718639.146728277 648409361.787980676         2.045517e+09
   23   -0.000000000 374349319.573364139 -374359319.573364139 -916989313.410245061 648409361.787980676 10000.000000000 1296798723.575961351 -1123060638.212016582         3.542940e+09
   24   -0.000000000 -648409361.787980676 648399361.787980676 1588247585.926817417 -1123060638.212016582 10000.000000000 -2246141276.424033165 1945215405.872017622         6.136552e+09
   25   -0.000000000 1123060638.212016582 -1123070638.212016582 -2750950008.721291542 1945215405.872017622 10000.000000000 3890410811.744034767 -3369194594.127973080         1.062882e+10
   26    0.000000238 -1945215405.872017384 1945205405.872017384 4764760689.289894104 -3369194594.127973080 10000.000000000 -6738409188.255945206 5835633538.124126434         1.840966e+10
   27   -0.000000477 3369194594.127972603 -3369204594.127972603 -8252832094.654428482 5835633538.124126434 10000.000000000 11671247076.248252869 -10107596461.875841141         3.188646e+10
   28   -0.000000000 -5835633538.124126434 5835623538.124126434 14294299999.379123688 -10107596461.875841141 10000.000000000 -20215212923.751682281 17506887934.880451202         5.522897e+10
   29   -0.000000000 10107596461.875841141 -10107606461.875841141 -24758478352.453838348 17506887934.880451202 10000.000000000 35013755869.760902405 -30322802065.119441986         9.565938e+10
   30   -0.000000000 -17506887934.880451202 17506877934.880451202 42882917929.646804810 -30322802065.119441986 10000.000000000 -60645624130.238883972 52520651125.149421692         1.656869e+11
   31   -0.000000000 30322802065.119441986 -30322812065.119441986 -74275417125.852066040 52520651125.149421692 10000.000000000 105041282250.298843384 -90968418874.850234985         2.869781e+11
   32   -0.000000000 -52520651125.149421692 52520641125.149421692 128648771720.449844360 -90968418874.850234985 10000.000000000 -181936857749.700469971 157561940695.956329346         4.970607e+11
   33   -0.000000000 90968418874.850234985 -90968428874.850234985 -222826233446.046722412 157561940695.956329346 10000.000000000 315123861391.912658691 -272905269304.042633057         8.609344e+11
   34   -0.000000000 -157561940695.956329346 157561930695.956329346 385946333092.858947754 -272905269304.042633057 10000.000000000 -545810558608.085205078 472685809408.376953125         1.491182e+12
   35   -0.000030518 272905269304.042602539 -272905279304.042602539 -668478682406.630615234 472685809408.376953125 10000.000000000 945371598816.753906250 -818715820591.619628906         2.582803e+12
   36   -0.000000000 -472685809408.376953125 472685799408.376953125 1157839017210.085937500 -818715820591.619628906 10000.000000000 -1637431661183.239013672 1418057415545.638671875         4.473546e+12
   37   -0.000122070 818715820591.619506836 -818715830591.619506836 -2005436029288.381835938 1418057415545.638671875 10000.000000000 2836114811091.277343750 -2456147474454.350097656         7.748410e+12
   38   -0.000000000 -1418057415545.638671875 1418057405545.638671875 3473517069561.766601562 -2456147474454.350097656 10000.000000000 -4912294968908.700195312 4254172233957.423339844         1.342064e+13
   39   -0.000000000 2456147474454.350097656 -2456147484454.350097656 -6016308069933.634765625 4254172233957.423339844 10000.000000000 8508344447914.845703125 -7368442436042.541015625         2.324523e+13
   40    0.000488281 -4254172233957.422851562 4254172223957.422851562 10420551226616.806640625 -7368442436042.541015625 10000.000000000 -14736884892085.080078125 12762516689192.773437500         4.026192e+13
   41   -0.000976562 7368442436042.540039062 -7368442446042.540039062 -18048924191869.390625000 12762516689192.773437500 10000.000000000 25525033358385.546875000 -22105327320807.109375000         6.973569e+13
   42   -0.000000000 -12762516689192.773437500 12762516679192.773437500 31261653697781.925781250 -22105327320807.109375000 10000.000000000 -44210654661614.218750000 38287550054898.828125000         1.207858e+14
   43   -0.000000000 22105327320807.109375000 -22105327330807.109375000 -54146772557676.656250000 38287550054898.828125000 10000.000000000 76575100089797.656250000 -66315981975100.812500000         2.092071e+14
   44   -0.000000000 -38287550054898.828125000 38287550044898.828125000 93784961111277.265625000 -66315981975100.812500000 10000.000000000 -132631963970201.609375000 114862650152016.953125000         3.623573e+14
   45   -0.007812500 66315981975100.804687500 -66315981985100.804687500 -162440317655098.406250000 114862650152016.953125000 10000.000000000 229725300284033.906250000 -198947945937981.875000000         6.276212e+14
   46   -0.000000000 -114862650152016.953125000 114862650142016.953125000 281354883351763.250000000 -198947945937981.875000000 10000.000000000 -397895891895963.750000000 344587950443371.312500000         1.087072e+15
   47   -0.000000000 198947945937981.875000000 -198947945947981.875000000 -487320952947363.625000000 344587950443371.312500000 10000.000000000 689175900866742.625000000 -596843837826625.000000000         1.882864e+15
   48   -0.000000000 -344587950443371.312500000 344587950433371.312500000 844064650073221.125000000 -596843837826625.000000000 10000.000000000 -1193687675673250.000000000 1033763851317434.375000000         3.261215e+15
   49   -0.000000000 596843837826625.000000000 -596843837836625.000000000 -1461962858824159.250000000 1033763851317434.375000000 10000.000000000 2067527702614868.750000000 -1790531513492554.500000000         5.648591e+15
   50   -0.000000000 -1033763851317434.375000000 1033763851307434.375000000 2532193950237595.000000000 -1790531513492554.500000000 10000.000000000 -3581063027005109.000000000 3101291553939623.500000000         9.783646e+15
   51   -0.000000000 1790531513492554.500000000 -1790531513502554.500000000 -4385888576454546.000000000 3101291553939623.500000000 10000.000000000 6202583107859247.000000000 -5371594540490342.000000000         1.694577e+16
   52   -0.000000000 -3101291553939623.500000000 3101291553929623.500000000 7596581850730714.000000000 -5371594540490342.000000000 10000.000000000 -10743189081000684.000000000 9303874661806190.000000000         2.935094e+16
   53   -0.000000000 5371594540490342.000000000 -5371594540500342.000000000 -13157665729345706.000000000 9303874661806190.000000000 10000.000000000 18607749323592380.000000000 -16114783621483706.000000000         5.083732e+16
   54   -0.000000000 -9303874661806190.000000000 9303874661796190.000000000 22789745552210076.000000000 -16114783621483706.000000000 10000.000000000 -32229567242987412.000000000 27911623985405888.000000000         8.805282e+16
   55   -0.000000000 16114783621483706.000000000 -16114783621493706.000000000 -39472997188019184.000000000 27911623985405888.000000000 10000.000000000 55823247970791776.000000000 -48344350864463792.000000000         1.525119e+17
   56   -0.000000000 -27911623985405888.000000000 27911623985395888.000000000 68369236656648152.000000000 -48344350864463792.000000000 10000.000000000 -96688701728947584.000000000 83734871956204976.000000000         2.641584e+17
   57   -0.000000000 48344350864463792.000000000 -48344350864473792.000000000 -118418991564039600.000000000 83734871956204976.000000000 10000.000000000 167469743912389952.000000000 -145033052593404032.000000000         4.575358e+17
   58   -0.000000000 -83734871956204976.000000000 83734871956194976.000000000 205107709969962336.000000000 -145033052593404032.000000000 10000.000000000 -290066105186828032.000000000 251204615868602176.000000000         7.924753e+17
   59   -0.000000000 145033052593404032.000000000 -145033052593414016.000000000 -355256974692100800.000000000 251204615868602176.000000000 10000.000000000 502409231737184384.000000000 -435099157780224704.000000000         1.372608e+18
