# Giai phuong trinh f(x) = 0 bang phuong phap Bisection
# Do chinh xac cua phep tinh la: 1e-08
####################################################################################################
    an         bn         cn         fn    
0.00001000 1.57078633 0.78539816 7.79209934e+00 
0.78539816 1.57078633 1.17809225 3.39966136e+00 
1.17809225 1.57078633 1.37443929 -7.05351357e-02 
1.17809225 1.37443929 1.27626577 2.05634177e+00 
1.27626577 1.37443929 1.32535253 1.15541017e+00 
1.32535253 1.37443929 1.34989591 5.97308378e-01 
1.34989591 1.37443929 1.36216760 2.79612090e-01 
1.36216760 1.37443929 1.36830344 1.08974450e-01 
1.36830344 1.37443929 1.37137136 2.03811890e-02 
1.37137136 1.37443929 1.37290532 -2.47796680e-02 
1.37137136 1.37290532 1.37213834 -2.12579507e-03 
1.37137136 1.37213834 1.37175485 9.14594932e-03 
1.37175485 1.37213834 1.37194660 3.51465374e-03 
1.37194660 1.37213834 1.37204247 6.95575186e-04 
1.37204247 1.37213834 1.37209041 -7.14823266e-04 
1.37204247 1.37209041 1.37206644 -9.55239774e-06 
1.37204247 1.37206644 1.37205446 3.43029301e-04 
1.37205446 1.37206644 1.37206045 1.66742929e-04 
1.37206045 1.37206644 1.37206344 7.85963850e-05 
1.37206344 1.37206644 1.37206494 3.45222735e-05 
1.37206494 1.37206644 1.37206569 1.24850078e-05 
1.37206569 1.37206644 1.37206607 1.46632254e-06 
1.37206607 1.37206644 1.37206625 -4.04303323e-06 
1.37206607 1.37206625 1.37206616 -1.28835426e-06 
1.37206607 1.37206616 1.37206611 8.89844118e-08 
1.37206611 1.37206616 1.37206614 -5.99684854e-07 
1.37206611 1.37206614 1.37206612 -2.55350207e-07 
1.37206611 1.37206612 1.37206612 -8.31828935e-08 
1.37206611 1.37206612 1.37206611 2.90076052e-09 
