# Giai phuong trinh f(x) = 0 bang phuong phap Bisection
# Do chinh xac cua phep tinh la: 1e-08
####################################################################################################
    an         bn         cn         fn    
1.72787596 3.92699082 2.82743339 1.32784503e+00 
2.82743339 3.92699082 3.37721210 3.97059904e-01 
3.37721210 3.92699082 3.65210146 -1.10290121e-01 
3.37721210 3.65210146 3.51465678 1.54623611e-01 
3.51465678 3.65210146 3.58337912 2.58534001e-02 
3.58337912 3.65210146 3.61774029 -4.11614445e-02 
3.58337912 3.61774029 3.60055971 -7.40819374e-03 
3.58337912 3.60055971 3.59196941 9.28190485e-03 
3.59196941 3.60055971 3.59626456 9.51944455e-04 
3.59626456 3.60055971 3.59841213 -3.22431897e-03 
3.59626456 3.59841213 3.59733835 -1.13524005e-03 
3.59626456 3.59733835 3.59680145 -9.14115162e-05 
3.59626456 3.59680145 3.59653301 4.30325474e-04 
3.59653301 3.59680145 3.59666723 1.69471738e-04 
3.59666723 3.59680145 3.59673434 3.90338019e-05 
3.59673434 3.59680145 3.59676790 -2.61879343e-05 
3.59673434 3.59676790 3.59675112 6.42316449e-06 
3.59675112 3.59676790 3.59675951 -9.88232723e-06 
3.59675112 3.59675951 3.59675531 -1.72956695e-06 
3.59675112 3.59675531 3.59675322 2.34680237e-06 
3.59675322 3.59675531 3.59675426 3.08618613e-07 
3.59675426 3.59675531 3.59675479 -7.10473944e-07 
3.59675426 3.59675479 3.59675453 -2.00927610e-07 
3.59675426 3.59675453 3.59675440 5.38455155e-08 
3.59675440 3.59675453 3.59675446 -7.35410433e-08 
3.59675440 3.59675446 3.59675443 -9.84776310e-09 
3.59675440 3.59675443 3.59675441 2.19988765e-08 
3.59675441 3.59675443 3.59675442 6.07555600e-09 
3.59675442 3.59675443 3.59675442 -1.88610333e-09 
