# Giai phuong trinh f(x) = 0 bang phuong phap Bisection
# Do chinh xac cua phep tinh la: 1e-08
####################################################################################################
    an         bn         cn         fn    
6.28319531 6.94982014 6.61650772 -2.48544939e-02 
6.28319531 6.61650772 6.44985152 2.33072863e-01 
6.44985152 6.61650772 6.53317962 1.07449217e-01 
6.53317962 6.61650772 6.57484367 4.22954485e-02 
6.57484367 6.61650772 6.59567570 8.99339923e-03 
6.59567570 6.61650772 6.60609171 -7.85915268e-03 
6.59567570 6.60609171 6.60088370 5.84564484e-04 
6.60088370 6.60609171 6.60348771 -3.63288365e-03 
6.60088370 6.60348771 6.60218571 -1.52306329e-03 
6.60088370 6.60218571 6.60153471 -4.68976112e-04 
6.60088370 6.60153471 6.60120921 5.78624103e-05 
6.60120921 6.60153471 6.60137196 -2.05539783e-04 
6.60120921 6.60137196 6.60129058 -7.38344207e-05 
6.60120921 6.60129058 6.60124989 -7.98493901e-06 
6.60120921 6.60124989 6.60122955 2.49390022e-05 
6.60122955 6.60124989 6.60123972 8.47709821e-06 
6.60123972 6.60124989 6.60124481 2.46096256e-07 
6.60124481 6.60124989 6.60124735 -3.86941721e-06 
6.60124481 6.60124735 6.60124608 -1.81165944e-06 
6.60124481 6.60124608 6.60124544 -7.82781329e-07 
6.60124481 6.60124544 6.60124512 -2.68342472e-07 
6.60124481 6.60124512 6.60124497 -1.11230905e-08 
6.60124481 6.60124497 6.60124489 1.17486586e-07 
6.60124489 6.60124497 6.60124493 5.31817485e-08 
6.60124493 6.60124497 6.60124495 2.10293298e-08 
6.60124495 6.60124497 6.60124496 4.95311941e-09 
6.60124496 6.60124497 6.60124496 -3.08498621e-09 
