# Giai phuong trinh vi phan
##################################################
     i             x             y
     0   0.000000000   0.500000000
     1   0.050000000   0.575000000
     2   0.100000000   0.653625000
     3   0.150000000   0.735806250
     4   0.200000000   0.821471562
     5   0.250000000   0.910545141
     6   0.300000000   1.002947398
     7   0.350000000   1.098594768
     8   0.400000000   1.197399506
     9   0.450000000   1.299269481
    10   0.500000000   1.404107955
    11   0.550000000   1.511813353
    12   0.600000000   1.622279021
    13   0.650000000   1.735392972
    14   0.700000000   1.851037620
    15   0.750000000   1.969089501
    16   0.800000000   2.089418976
    17   0.850000000   2.211889925
    18   0.900000000   2.336359421
    19   0.950000000   2.462677393
    20   1.000000000   2.590686262
    21   1.050000000   2.720220575
    22   1.100000000   2.851106604
    23   1.150000000   2.983161934
    24   1.200000000   3.116195031
    25   1.250000000   3.250004783
    26   1.300000000   3.384380022
    27   1.350000000   3.519099023
    28   1.400000000   3.653928974
    29   1.450000000   3.788625423
    30   1.500000000   3.922931694
    31   1.550000000   4.056578278
    32   1.600000000   4.189282192
    33   1.650000000   4.320746302
    34   1.700000000   4.450658617
    35   1.750000000   4.578691548
    36   1.800000000   4.704501125
    37   1.850000000   4.827726181
    38   1.900000000   4.947987491
    39   1.950000000   5.064886865
    40   2.000000000   5.178006208
    41   2.050000000   5.286906519
    42   2.100000000   5.391126845
    43   2.150000000   5.490183187
    44   2.200000000   5.583567346
    45   2.250000000   5.670745714
    46   2.300000000   5.751157999
    47   2.350000000   5.824215899
    48   2.400000000   5.889301694
    49   2.450000000   5.945766779
    50   2.500000000   5.992930118
    51   2.550000000   6.030076624
    52   2.600000000   6.056455455
    53   2.650000000   6.071278228
    54   2.700000000   6.073717139
    55   2.750000000   6.062902996
    56   2.800000000   6.037923146
    57   2.850000000   5.997819303
    58   2.900000000   5.941585268
    59   2.950000000   5.868164532
    60   3.000000000   5.776447758
    61   3.050000000   5.665270146
    62   3.100000000   5.533408653
    63   3.150000000   5.379579086
    64   3.200000000   5.202433040
    65   3.250000000   5.000554692
    66   3.300000000   4.772457427
    67   3.350000000   4.516580298
    68   3.400000000   4.231284313
    69   3.450000000   3.914848529
    70   3.500000000   3.565465955
    71   3.550000000   3.181239253
    72   3.600000000   2.760176216
    73   3.650000000   2.300185027
    74   3.700000000   1.799069278
    75   3.750000000   1.254522742
    76   3.800000000   0.664123879
    77   3.850000000   0.025330073
    78   3.900000000  -0.664528423
    79   3.950000000  -1.408254845
    80   4.000000000  -2.208792587
    81   4.050000000  -3.069232216
    82   4.100000000  -3.992818827
    83   4.150000000  -4.982959768
    84   4.200000000  -6.043232757
    85   4.250000000  -7.177394394
    86   4.300000000  -8.389389114
    87   4.350000000  -9.683358570
    88   4.400000000  -11.063651498
    89   4.450000000  -12.534834073
    90   4.500000000  -14.101700777
    91   4.550000000  -15.769285816
    92   4.600000000  -17.542875107
    93   4.650000000  -19.428018862
    94   4.700000000  -21.430544805
    95   4.750000000  -23.556572045
    96   4.800000000  -25.812525648
    97   4.850000000  -28.205151930
    98   4.900000000  -30.741534527
    99   4.950000000  -33.429111253
   100   5.000000000  -36.275691815
   101   5.050000000  -39.289476406
   102   5.100000000  -42.479075227
   103   5.150000000  -45.853528988
   104   5.200000000  -49.422330437
   105   5.250000000  -53.195446959
   106   5.300000000  -57.183344307
   107   5.350000000  -61.397011522
   108   5.400000000  -65.847987099
   109   5.450000000  -70.548386454
   110   5.500000000  -75.510930776
   111   5.550000000  -80.748977315
   112   5.600000000  -86.276551181
   113   5.650000000  -92.108378740
   114   5.700000000  -98.259922677
   115   5.750000000  -104.747418811
   116   5.800000000  -111.587914751
   117   5.850000000  -118.799310489
   118   5.900000000  -126.400401013
   119   5.950000000  -134.410921064
   120   6.000000000  -142.851592117
   121   6.050000000  -151.744171723
   122   6.100000000  -161.111505309
   123   6.150000000  -170.977580574
   124   6.200000000  -181.367584603
   125   6.250000000  -192.307963833
   126   6.300000000  -203.826487025
   127   6.350000000  -215.952311376
   128   6.400000000  -228.716051945
   129   6.450000000  -242.149854542
   130   6.500000000  -256.287472269
   131   6.550000000  -271.164345883
   132   6.600000000  -286.817688177
   133   6.650000000  -303.286572586
   134   6.700000000  -320.612026215
   135   6.750000000  -338.837127526
   136   6.800000000  -358.007108902
   137   6.850000000  -378.169464347
   138   6.900000000  -399.374062565
   139   6.950000000  -421.673265693
   140   7.000000000  -445.122053977
   141   7.050000000  -469.778156676
   142   7.100000000  -495.702189510
   143   7.150000000  -522.957798986
   144   7.200000000  -551.611813935
   145   7.250000000  -581.734404632
   146   7.300000000  -613.399249863
   147   7.350000000  -646.683712356
   148   7.400000000  -681.669022974
   149   7.450000000  -718.440474123
   150   7.500000000  -757.087622829
   151   7.550000000  -797.704503971
   152   7.600000000  -840.389854169
   153   7.650000000  -885.247346878
   154   7.700000000  -932.385839222
   155   7.750000000  -981.919631183
   156   7.800000000  -1033.968737742
   157   7.850000000  -1088.659174629
   158   7.900000000  -1146.123258360
   159   7.950000000  -1206.499921278
   160   8.000000000  -1269.935042342
   161   8.050000000  -1336.581794459
   162   8.100000000  -1406.601009182
   163   8.150000000  -1480.161559641
   164   8.200000000  -1557.440762623
   165   8.250000000  -1638.624800755
   166   8.300000000  -1723.909165792
   167   8.350000000  -1813.499124082
   168   8.400000000  -1907.610205286
   169   8.450000000  -2006.468715550
   170   8.500000000  -2110.312276328
   171   8.550000000  -2219.390390144
   172   8.600000000  -2333.965034651
   173   8.650000000  -2454.311286384
   174   8.700000000  -2580.717975703
   175   8.750000000  -2713.488374488
   176   8.800000000  -2852.940918213
   177   8.850000000  -2999.409964123
   178   8.900000000  -3153.246587330
   179   8.950000000  -3314.819416696
   180   9.000000000  -3484.515512531
   181   9.050000000  -3662.741288157
   182   9.100000000  -3849.923477565
   183   9.150000000  -4046.510151444
   184   9.200000000  -4252.971784016
   185   9.250000000  -4469.802373217
   186   9.300000000  -4697.520616877
   187   9.350000000  -4936.671147721
   188   9.400000000  -5187.825830107
   189   9.450000000  -5451.585121613
   190   9.500000000  -5728.579502693
   191   9.550000000  -6019.470977828
   192   9.600000000  -6324.954651719
   193   9.650000000  -6645.760384305
   194   9.700000000  -6982.654528521
   195   9.750000000  -7336.441754947
   196   9.800000000  -7707.966967694
   197   9.850000000  -8098.117316079
   198   9.900000000  -8507.824306883
   199   9.950000000  -8938.066022227
   200  10.000000000  -9389.869448338
