# Giai phuong trinh vi phan
##################################################
     i             x             y
     0   0.000000000   0.500000000
     1   0.050000000   0.576843750
     2   0.100000000   0.657372617
     3   0.150000000   0.741519214
     4   0.200000000   0.829212699
     5   0.250000000   0.920378599
     6   0.300000000   1.014938628
     7   0.350000000   1.112810482
     8   0.400000000   1.213907644
     9   0.450000000   1.318139161
    10   0.500000000   1.425409418
    11   0.550000000   1.535617901
    12   0.600000000   1.648658943
    13   0.650000000   1.764421464
    14   0.700000000   1.882788689
    15   0.750000000   2.003637860
    16   0.800000000   2.126839925
    17   0.850000000   2.252259221
    18   0.900000000   2.379753131
    19   0.950000000   2.509171729
    20   1.000000000   2.640357405
    21   1.050000000   2.773144472
    22   1.100000000   2.907358751
    23   1.150000000   3.042817137
    24   1.200000000   3.179327141
    25   1.250000000   3.316686407
    26   1.300000000   3.454682210
    27   1.350000000   3.593090923
    28   1.400000000   3.731677458
    29   1.450000000   3.870194678
    30   1.500000000   4.008382780
    31   1.550000000   4.145968647
    32   1.600000000   4.282665166
    33   1.650000000   4.418170505
    34   1.700000000   4.552167369
    35   1.750000000   4.684322196
    36   1.800000000   4.814284334
    37   1.850000000   4.941685156
    38   1.900000000   5.066137145
    39   1.950000000   5.187232924
    40   2.000000000   5.304544236
    41   2.050000000   5.417620878
    42   2.100000000   5.525989573
    43   2.150000000   5.629152789
    44   2.200000000   5.726587495
    45   2.250000000   5.817743854
    46   2.300000000   5.902043851
    47   2.350000000   5.978879848
    48   2.400000000   6.047613066
    49   2.450000000   6.107571985
    50   2.500000000   6.158050675
    51   2.550000000   6.198307022
    52   2.600000000   6.227560882
    53   2.650000000   6.244992127
    54   2.700000000   6.249738598
    55   2.750000000   6.240893951
    56   2.800000000   6.217505391
    57   2.850000000   6.178571293
    58   2.900000000   6.123038696
    59   2.950000000   6.049800680
    60   3.000000000   5.957693589
    61   3.050000000   5.845494136
    62   3.100000000   5.711916335
    63   3.150000000   5.555608298
    64   3.200000000   5.375148848
    65   3.250000000   5.169043976
    66   3.300000000   4.935723105
    67   3.350000000   4.673535164
    68   3.400000000   4.380744466
    69   3.450000000   4.055526370
    70   3.500000000   3.695962722
    71   3.550000000   3.300037061
    72   3.600000000   2.865629586
    73   3.650000000   2.390511852
    74   3.700000000   1.872341209
    75   3.750000000   1.308654946
    76   3.800000000   0.696864137
    77   3.850000000   0.034247174
    78   3.900000000  -0.682057033
    79   3.950000000  -1.455056206
    80   4.000000000  -2.287912212
    81   4.050000000  -3.183948962
    82   4.100000000  -4.146660722
    83   4.150000000  -5.179720834
    84   4.200000000  -6.286990901
    85   4.250000000  -7.472530435
    86   4.300000000  -8.740606995
    87   4.350000000  -10.095706853
    88   4.400000000  -11.542546205
    89   4.450000000  -13.086082948
    90   4.500000000  -14.731529074
    91   4.550000000  -16.484363689
    92   4.600000000  -18.350346703
    93   4.650000000  -20.335533221
    94   4.700000000  -22.446288674
    95   4.750000000  -24.689304718
    96   4.800000000  -27.071615960
    97   4.850000000  -29.600617528
    98   4.900000000  -32.284083552
    99   4.950000000  -35.130186584
   100   5.000000000  -38.147518021
   101   5.050000000  -41.345109570
   102   5.100000000  -44.732455810
   103   5.150000000  -48.319537920
   104   5.200000000  -52.116848614
   105   5.250000000  -56.135418355
   106   5.300000000  -60.386842921
   107   5.350000000  -64.883312371
   108   5.400000000  -69.637641505
   109   5.450000000  -74.663301882
   110   5.500000000  -79.974455478
   111   5.550000000  -85.585990071
   112   5.600000000  -91.513556437
   113   5.650000000  -97.773607455
   114   5.700000000  -104.383439212
   115   5.750000000  -111.361234222
   116   5.800000000  -118.726106850
   117   5.850000000  -126.498151077
   118   5.900000000  -134.698490694
   119   5.950000000  -143.349332092
   120   6.000000000  -152.474019737
   121   6.050000000  -162.097094498
   122   6.100000000  -172.244354967
   123   6.150000000  -182.942921909
   124   6.200000000  -194.221306031
   125   6.250000000  -206.109479216
   126   6.300000000  -218.638949400
   127   6.350000000  -231.842839307
   128   6.400000000  -245.755969197
   129   6.450000000  -260.414943868
   130   6.500000000  -275.858244116
   131   6.550000000  -292.126322877
   132   6.600000000  -309.261706300
   133   6.650000000  -327.309099997
   134   6.700000000  -346.315500747
   135   6.750000000  -366.330313911
   136   6.800000000  -387.405476873
   137   6.850000000  -409.595588813
   138   6.900000000  -432.958047115
   139   6.950000000  -457.553190779
   140   7.000000000  -483.444451182
   141   7.050000000  -510.698510555
   142   7.100000000  -539.385468596
   143   7.150000000  -569.579017612
   144   7.200000000  -601.356626639
   145   7.250000000  -634.799735004
   146   7.300000000  -669.993955798
   147   7.350000000  -707.029289783
   148   7.400000000  -746.000350259
   149   7.450000000  -787.006599460
   150   7.500000000  -830.152597057
   151   7.550000000  -875.548261407
   152   7.600000000  -923.309144179
   153   7.650000000  -973.556719068
   154   7.700000000  -1026.418685295
   155   7.750000000  -1082.029286667
   156   7.800000000  -1140.529646983
   157   7.850000000  -1202.068122641
   158   7.900000000  -1266.800673301
   159   7.950000000  -1334.891251558
   160   8.000000000  -1406.512212576
   161   8.050000000  -1481.844744720
   162   8.100000000  -1561.079322262
   163   8.150000000  -1644.416181278
   164   8.200000000  -1732.065819943
   165   8.250000000  -1824.249524465
   166   8.300000000  -1921.199921969
