# Bai toan truyen song 1D 
# Phuong phap sai phan huu han hien
# Ghi lai vi tri va bien do cua dinh song tai moi thoi diem
#

####################################################################################################
#           t (s)  x_dinh_song_num (m)       u_dinh_song_num (m)      x_dinh_song_anal (m)      u_dinh_song_anal (m)
   5.70000000e-03       4.43661972e-01            5.44732520e-01            4.36619718e-01            5.46316926e-01
   5.80000000e-03       4.36619718e-01            5.36921905e-01            4.29577465e-01            5.37477538e-01
   5.90000000e-03       4.29577465e-01            5.29025046e-01            4.29577465e-01            5.28992411e-01
   6.00000000e-03       4.22535211e-01            5.21047406e-01            4.22535211e-01            5.22243699e-01
   6.10000000e-03       4.15492958e-01            5.12994414e-01            4.15492958e-01            5.15259305e-01
   6.20000000e-03       4.08450704e-01            5.04871414e-01            4.08450704e-01            5.07986311e-01
   6.30000000e-03       4.01408451e-01            4.96683609e-01            4.01408451e-01            5.00393864e-01
   6.40000000e-03       3.94366197e-01            4.88436019e-01            3.94366197e-01            4.92489319e-01
   6.50000000e-03       3.94366197e-01            4.80145641e-01            3.87323944e-01            4.84278609e-01
   6.60000000e-03       3.87323944e-01            4.72528716e-01            3.80281690e-01            4.75793056e-01
   6.70000000e-03       3.80281690e-01            4.64820148e-01            3.73239437e-01            4.67095831e-01
   6.80000000e-03       3.73239437e-01            4.57024512e-01            3.66197183e-01            4.58236331e-01
   6.90000000e-03       3.66197183e-01            4.49146525e-01            3.66197183e-01            4.50167848e-01
   7.00000000e-03       3.59154930e-01            4.41190975e-01            3.59154930e-01            4.43383703e-01
   7.10000000e-03       3.52112676e-01            4.33162654e-01            3.52112676e-01            4.36340862e-01
   7.20000000e-03       3.45070423e-01            4.25066311e-01            3.45070423e-01            4.29011971e-01
   7.30000000e-03       3.38028169e-01            4.16906605e-01            3.38028169e-01            4.21365199e-01
   7.40000000e-03       3.30985915e-01            4.08688064e-01            3.30985915e-01            4.13394049e-01
   7.50000000e-03       3.23943662e-01            4.00415063e-01            3.23943662e-01            4.05131718e-01
   7.60000000e-03       3.23943662e-01            3.92632744e-01            3.16901408e-01            3.96606366e-01
   7.70000000e-03       3.16901408e-01            3.84935474e-01            3.09859155e-01            3.87866433e-01
   7.80000000e-03       3.09859155e-01            3.77154790e-01            3.02816901e-01            3.78986635e-01
   7.90000000e-03       7.04225352e-01           -3.70090992e-01            3.02816901e-01            3.71335056e-01
   8.00000000e-03       6.97183099e-01           -3.77626227e-01            6.97183099e-01           -3.79068388e-01
   8.10000000e-03       6.90140845e-01           -3.85129407e-01            6.90140845e-01           -3.87798297e-01
   8.20000000e-03       6.90140845e-01           -3.93097393e-01            6.83098592e-01           -3.96327664e-01
   8.30000000e-03       6.83098592e-01           -4.01330704e-01            6.76056338e-01           -4.04593167e-01
   8.40000000e-03       6.76056338e-01           -4.09418478e-01            6.69014085e-01           -4.12554166e-01
   8.50000000e-03       6.69014085e-01           -4.17439289e-01            6.61971831e-01           -4.20204968e-01
   8.60000000e-03       6.61971831e-01           -4.25456623e-01            6.54929577e-01           -4.27536315e-01
   8.70000000e-03       6.54929577e-01           -4.33493163e-01            6.47887324e-01           -4.34569426e-01
   8.80000000e-03       6.47887324e-01           -4.41524383e-01            6.40845070e-01           -4.41358254e-01
   8.90000000e-03       6.40845070e-01           -4.49492427e-01            6.40845070e-01           -4.49429735e-01
   9.00000000e-03       6.33802817e-01           -4.57332827e-01            6.33802817e-01           -4.58292814e-01
   9.10000000e-03       6.26760563e-01           -4.65002229e-01            6.26760563e-01           -4.66993837e-01
   9.20000000e-03       6.19718310e-01           -4.72496031e-01            6.19718310e-01           -4.75469877e-01
   9.30000000e-03       6.19718310e-01           -4.80627016e-01            6.12676056e-01           -4.83684022e-01
   9.40000000e-03       6.12676056e-01           -4.89022405e-01            6.05633803e-01           -4.91591420e-01
   9.50000000e-03       6.05633803e-01           -4.97252295e-01            5.98591549e-01           -4.99174141e-01
   9.60000000e-03       5.98591549e-01           -5.05292525e-01            5.91549296e-01           -5.06450969e-01
   9.70000000e-03       5.91549296e-01           -5.13157254e-01            5.84507042e-01           -5.13437908e-01
   9.80000000e-03       5.84507042e-01           -5.20893021e-01            5.77464789e-01           -5.20177276e-01
   9.90000000e-03       5.77464789e-01           -5.28561545e-01            5.77464789e-01           -5.28679556e-01
   1.00000000e-02       5.70422535e-01           -5.36218187e-01            5.70422535e-01           -5.37509772e-01
   1.01000000e-02       5.63380282e-01           -5.43893910e-01            5.63380282e-01           -5.46175917e-01
   1.02000000e-02       5.63380282e-01           -5.51658601e-01            5.56338028e-01           -5.54610288e-01
   1.03000000e-02       5.56338028e-01           -5.59836061e-01            5.49295775e-01           -5.62761682e-01
   1.04000000e-02       5.49295775e-01           -5.67956220e-01            5.42253521e-01           -5.70612161e-01
   1.05000000e-02       5.42253521e-01           -5.76063580e-01            5.35211268e-01           -5.78140041e-01
   1.06000000e-02       5.35211268e-01           -5.84176817e-01            5.28169014e-01           -5.85352447e-01
   1.07000000e-02       5.28169014e-01           -5.92284208e-01            5.21126761e-01           -5.92293097e-01
   1.08000000e-02       5.21126761e-01           -6.00349229e-01            5.14084507e-01           -5.98997666e-01
   1.09000000e-02       5.14084507e-01           -6.08323864e-01            5.14084507e-01           -6.07919699e-01
   1.10000000e-02       5.07042254e-01           -6.16164939e-01            5.07042254e-01           -6.16728417e-01
   1.11000000e-02       5.00000000e-01           -6.23848213e-01            5.00000000e-01           -6.25347611e-01
   1.12000000e-02       4.92957746e-01           -6.31376047e-01            4.92957746e-01           -6.33735417e-01
   1.13000000e-02       4.92957746e-01           -6.39357893e-01            4.85915493e-01           -6.41836452e-01
   1.14000000e-02       4.85915493e-01           -6.47746415e-01            4.78873239e-01           -6.49618617e-01
   1.15000000e-02       4.78873239e-01           -6.55988931e-01            4.71830986e-01           -6.57089865e-01
   1.16000000e-02       4.71830986e-01           -6.64063804e-01            4.64788732e-01           -6.64252401e-01
   1.17000000e-02       4.64788732e-01           -6.71974607e-01            4.57746479e-01           -6.71136362e-01
   1.18000000e-02       4.57746479e-01           -6.79748848e-01            4.57746479e-01           -6.78248800e-01
   1.19000000e-02       4.50704225e-01           -6.87430003e-01            4.50704225e-01           -6.87153335e-01
   1.20000000e-02       4.43661972e-01           -6.95065496e-01            4.43661972e-01           -6.95934512e-01
   1.21000000e-02       4.36619718e-01           -7.02694159e-01            4.36619718e-01           -7.04519614e-01
   1.22000000e-02       4.36619718e-01           -7.10523900e-01            4.29577465e-01           -7.12847386e-01
   1.23000000e-02       4.29577465e-01           -7.18716962e-01            4.22535211e-01           -7.20894323e-01
   1.24000000e-02       4.22535211e-01           -7.26808299e-01            4.15492958e-01           -7.28623174e-01
   1.25000000e-02       4.15492958e-01           -7.34841838e-01            4.08450704e-01           -7.36024825e-01
   1.26000000e-02       4.08450704e-01           -7.42854337e-01            4.01408451e-01           -7.43137179e-01
   1.27000000e-02       4.01408451e-01           -7.50866320e-01            3.94366197e-01           -7.49981921e-01
